sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local,element,xpath
97,6,A,,bus:Entity Party Accountant Contact Phone Complete Number,,0..1,,The text string of characters that make up the complete number for this communication.,bus,bus:Phone,BU02b_03,/BT30a/BU10a/BU08b/BU02b/BU02b_03,$.btx:Business Transactions.cor:Entity_ Party.bus:Accountant.bus:Contact.bus:Phone.bus:Contact Phone Complete Number,BtxbTran.CornPart.Busc.Busc.Busp.BuscPhonCompNumb,通信番号（完全）,国番号・市外局番等を含む完全な番号文字列（電話番号、FAX番号等）。,bus:entityPartyAccountantContactPhoneCompleteNumber,/btx:businessTransactions/cor:entityParty/bus:entityPartyAccountant/bus:entityPartyAccountantContact/bus:entityPartyAccountantContactPhone/bus:entityPartyAccountantContactPhoneCompleteNumber
98,6,A,,bus:Entity Party Accountant Contact Phone Use Code,,0..1,,"The code specifying the usage or purpose of this communication, such as main, investor-relations, direct. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",bus,bus:Phone,BU02b_04,/BT30a/BU10a/BU08b/BU02b/BU02b_04,$.btx:Business Transactions.cor:Entity_ Party.bus:Accountant.bus:Contact.bus:Phone.bus:Contact Phone Use Code,BtxbTran.CornPart.Busc.Busc.Busp.BuscPhonUseCod,通信用途コード,"代表、IR用などの通信用途コード。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",bus:entityPartyAccountantContactPhoneUseCode,/btx:businessTransactions/cor:entityParty/bus:entityPartyAccountant/bus:entityPartyAccountantContact/bus:entityPartyAccountantContactPhone/bus:entityPartyAccountantContactPhoneUseCode
99,5,C,,bus:Entity Party Accountant Contact Fax,,0..*,,Fax number information.,bus,bus:Fax,BU03b,/BT30a/BU10a/BU08b/BU03b,$.btx:Business Transactions.cor:Entity_ Party.bus:Accountant.bus:Contact.bus:Fax,BtxbTran.CornPart.Busc.Busc.Busf,【FAX番号】,FAX番号情報。,bus:entityPartyAccountantContactFax,/btx:businessTransactions/cor:entityParty/bus:entityPartyAccountant/bus:entityPartyAccountantContact/bus:entityPartyAccountantContactFax
100,6,A,,bus:Entity Party Accountant Contact Fax URI Identifier,,0..1,,"The Uniform Resource Identifier (URI), such as a web or an email address, for this communication.",bus,bus:Fax,BU03b_01,/BT30a/BU10a/BU08b/BU03b/BU03b_01,$.btx:Business Transactions.cor:Entity_ Party.bus:Accountant.bus:Contact.bus:Fax.bus:Contact Fax URI Identifier,BtxbTran.CornPart.Busc.Busc.Busf.BuscFaxUriIdnr,URI,メールアドレスやWebアドレス等のURI。,bus:entityPartyAccountantContactFaxUriIdentifier,/btx:businessTransactions/cor:entityParty/bus:entityPartyAccountant/bus:entityPartyAccountantContact/bus:entityPartyAccountantContactFax/bus:entityPartyAccountantContactFaxUriIdentifier
101,6,A,,bus:Entity Party Accountant Contact Fax Channel Code,,0..1,,"A code specifying the communication channel or medium through which contact information is provided or used.
This code identifies the type of communication mechanism associated with a contact point, in accordance with UN/EDIFACT Data Element 3155 – Communication means type code. It enables consistent interpretation of contact details across systems and jurisdictions.
Examples (non-exhaustive):
TE (Telephone) Voice or data communication via a telephone network.
FX (Telefax) Transmission of documents via facsimile equipment.
EM (Electronic mail) Communication using electronic mail (email). 
The Channel Code is used in conjunction with the corresponding communication identifier (e.g. phone number, fax number, or email address) and supports extensibility for additional communication types as defined by applicable code lists or jurisdictional requirements.",bus,bus:Fax,BU03b_02,/BT30a/BU10a/BU08b/BU03b/BU03b_02,$.btx:Business Transactions.cor:Entity_ Party.bus:Accountant.bus:Contact.bus:Fax.bus:Contact Fax Channel Code,BtxbTran.CornPart.Busc.Busc.Busf.BuscFaxChanCod,通信チャネルコード,"連絡先情報が提供または使用される通信チャネルまたは媒体を指定するコード。
このコードは、UN/EDIFACTデータ要素3155「通信手段種別コード」に基づき、連絡先に関連付けられた通信手段の種類を識別する。これにより、システムや管轄区域をまたいで連絡先情報を一貫して解釈できる。
例（これらに限定されません）：
TE(電話)　電話網を介した音声またはデータ通信。
FX(テレファックス)　ファクシミリ機器を介した文書の送信。
EM(電子メール)　電子メール（Eメール）を使用した通信。
チャネルコードは、対応する通信識別子（電話番号、FAX番号、Eメールアドレスなど）と組み合わせて使用​​され、該当するコードリストまたは管轄区域の要件で定義されている追加の通信種別への拡張性をサポートする。",bus:entityPartyAccountantContactFaxChannelCode,/btx:businessTransactions/cor:entityParty/bus:entityPartyAccountant/bus:entityPartyAccountantContact/bus:entityPartyAccountantContactFax/bus:entityPartyAccountantContactFaxChannelCode
102,6,A,,bus:Entity Party Accountant Contact Fax Complete Number,,0..1,,The text string of characters that make up the complete number for this communication.,bus,bus:Fax,BU03b_03,/BT30a/BU10a/BU08b/BU03b/BU03b_03,$.btx:Business Transactions.cor:Entity_ Party.bus:Accountant.bus:Contact.bus:Fax.bus:Contact Fax Complete Number,BtxbTran.CornPart.Busc.Busc.Busf.BuscFaxCompNumb,通信番号（完全）,国番号・市外局番等を含む完全な番号文字列（電話番号、FAX番号等）。,bus:entityPartyAccountantContactFaxCompleteNumber,/btx:businessTransactions/cor:entityParty/bus:entityPartyAccountant/bus:entityPartyAccountantContact/bus:entityPartyAccountantContactFax/bus:entityPartyAccountantContactFaxCompleteNumber
103,6,A,,bus:Entity Party Accountant Contact Fax Use Code,,0..1,,"The code specifying the usage or purpose of this communication, such as main, investor-relations, direct. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",bus,bus:Fax,BU03b_04,/BT30a/BU10a/BU08b/BU03b/BU03b_04,$.btx:Business Transactions.cor:Entity_ Party.bus:Accountant.bus:Contact.bus:Fax.bus:Contact Fax Use Code,BtxbTran.CornPart.Busc.Busc.Busf.BuscFaxUseCod,通信用途コード,"代表、IR用などの通信用途コード。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",bus:entityPartyAccountantContactFaxUseCode,/btx:businessTransactions/cor:entityParty/bus:entityPartyAccountant/bus:entityPartyAccountantContact/bus:entityPartyAccountantContactFax/bus:entityPartyAccountantContactFaxUseCode
104,5,C,,bus:Entity Party Accountant Contact Email,,0..*,,Email address information.,bus,bus:Email,BU04b,/BT30a/BU10a/BU08b/BU04b,$.btx:Business Transactions.cor:Entity_ Party.bus:Accountant.bus:Contact.bus:Email,BtxbTran.CornPart.Busc.Busc.Busm,【Eメールアドレス】,Eメールアドレス情報。,bus:entityPartyAccountantContactEmail,/btx:businessTransactions/cor:entityParty/bus:entityPartyAccountant/bus:entityPartyAccountantContact/bus:entityPartyAccountantContactEmail
105,6,A,,bus:Entity Party Accountant Contact Email URI Identifier,,0..1,,"The Uniform Resource Identifier (URI), such as a web or an email address, for this communication.",bus,bus:Email,BU04b_01,/BT30a/BU10a/BU08b/BU04b/BU04b_01,$.btx:Business Transactions.cor:Entity_ Party.bus:Accountant.bus:Contact.bus:Email.bus:Contact Email URI Identifier,BtxbTran.CornPart.Busc.Busc.Busm.BuscEmlUriIdnr,URI,メールアドレスやWebアドレス等のURI。,bus:entityPartyAccountantContactEmailUriIdentifier,/btx:businessTransactions/cor:entityParty/bus:entityPartyAccountant/bus:entityPartyAccountantContact/bus:entityPartyAccountantContactEmail/bus:entityPartyAccountantContactEmailUriIdentifier
106,6,A,,bus:Entity Party Accountant Contact Email Channel Code,,0..1,,"A code specifying the communication channel or medium through which contact information is provided or used.
This code identifies the type of communication mechanism associated with a contact point, in accordance with UN/EDIFACT Data Element 3155 – Communication means type code. It enables consistent interpretation of contact details across systems and jurisdictions.
Examples (non-exhaustive):
TE (Telephone) Voice or data communication via a telephone network.
FX (Telefax) Transmission of documents via facsimile equipment.
EM (Electronic mail) Communication using electronic mail (email). 
The Channel Code is used in conjunction with the corresponding communication identifier (e.g. phone number, fax number, or email address) and supports extensibility for additional communication types as defined by applicable code lists or jurisdictional requirements.",bus,bus:Email,BU04b_02,/BT30a/BU10a/BU08b/BU04b/BU04b_02,$.btx:Business Transactions.cor:Entity_ Party.bus:Accountant.bus:Contact.bus:Email.bus:Contact Email Channel Code,BtxbTran.CornPart.Busc.Busc.Busm.BuscEmlChanCod,通信チャネルコード,"連絡先情報が提供または使用される通信チャネルまたは媒体を指定するコード。
このコードは、UN/EDIFACTデータ要素3155「通信手段種別コード」に基づき、連絡先に関連付けられた通信手段の種類を識別する。これにより、システムや管轄区域をまたいで連絡先情報を一貫して解釈できる。
例（これらに限定されません）：
TE(電話)　電話網を介した音声またはデータ通信。
FX(テレファックス)　ファクシミリ機器を介した文書の送信。
EM(電子メール)　電子メール（Eメール）を使用した通信。
チャネルコードは、対応する通信識別子（電話番号、FAX番号、Eメールアドレスなど）と組み合わせて使用​​され、該当するコードリストまたは管轄区域の要件で定義されている追加の通信種別への拡張性をサポートする。",bus:entityPartyAccountantContactEmailChannelCode,/btx:businessTransactions/cor:entityParty/bus:entityPartyAccountant/bus:entityPartyAccountantContact/bus:entityPartyAccountantContactEmail/bus:entityPartyAccountantContactEmailChannelCode
107,6,A,,bus:Entity Party Accountant Contact Email Complete Number,,0..1,,The text string of characters that make up the complete number for this communication.,bus,bus:Email,BU04b_03,/BT30a/BU10a/BU08b/BU04b/BU04b_03,$.btx:Business Transactions.cor:Entity_ Party.bus:Accountant.bus:Contact.bus:Email.bus:Contact Email Complete Number,BtxbTran.CornPart.Busc.Busc.Busm.BuscEmlCompNumb,通信番号（完全）,国番号・市外局番等を含む完全な番号文字列（電話番号、FAX番号等）。,bus:entityPartyAccountantContactEmailCompleteNumber,/btx:businessTransactions/cor:entityParty/bus:entityPartyAccountant/bus:entityPartyAccountantContact/bus:entityPartyAccountantContactEmail/bus:entityPartyAccountantContactEmailCompleteNumber
108,6,A,,bus:Entity Party Accountant Contact Email Use Code,,0..1,,"The code specifying the usage or purpose of this communication, such as main, investor-relations, direct. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",bus,bus:Email,BU04b_04,/BT30a/BU10a/BU08b/BU04b/BU04b_04,$.btx:Business Transactions.cor:Entity_ Party.bus:Accountant.bus:Contact.bus:Email.bus:Contact Email Use Code,BtxbTran.CornPart.Busc.Busc.Busm.BuscEmlUseCod,通信用途コード,"代表、IR用などの通信用途コード。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",bus:entityPartyAccountantContactEmailUseCode,/btx:businessTransactions/cor:entityParty/bus:entityPartyAccountant/bus:entityPartyAccountantContact/bus:entityPartyAccountantContactEmail/bus:entityPartyAccountantContactEmailUseCode
109,3,C,,bus:Entity Party Reporting Calendar,,0..*,,A tool to collect the periods used to summarise results from transactions.,bus,bus:Reporting Calendar,BU13a,/BT30a/BU13a,$.btx:Business Transactions.cor:Entity_ Party.bus:Reporting Calendar,BtxbTran.CornPart.BusrCaln,【報告カレンダー】,取引の結果をまとめるための期間を集めるもの。,bus:entityPartyReportingCalendar,/btx:businessTransactions/cor:entityParty/bus:entityPartyReportingCalendar
110,4,A,,bus:Entity Party Reporting Calendar Code,,0..1,,"The code used to identify this specific reporting calendar, unique across periods",bus,bus:Reporting Calendar,BU13a_01,/BT30a/BU13a/BU13a_01,$.btx:Business Transactions.cor:Entity_ Party.bus:Reporting Calendar.bus:Reporting Calendar Code,BtxbTran.CornPart.BusrCaln.BusrCalnCod,報告カレンダーコード,この報告カレンダーを識別するコード。複数期間にわたって一意。,bus:entityPartyReportingCalendarCode,/btx:businessTransactions/cor:entityParty/bus:entityPartyReportingCalendar/bus:entityPartyReportingCalendarCode
111,4,A,,bus:Entity Party Reporting Calendar Description,,0..1,,A description of the reporting calendar (associated with the reportingCalendarCode given),bus,bus:Reporting Calendar,BU13a_02,/BT30a/BU13a/BU13a_02,$.btx:Business Transactions.cor:Entity_ Party.bus:Reporting Calendar.bus:Reporting Calendar Description,BtxbTran.CornPart.BusrCaln.BusrCalnDesc,報告カレンダー説明,報告カレンダーの説明（reportingCalendarCodeと関係付けられる）。,bus:entityPartyReportingCalendarDescription,/btx:businessTransactions/cor:entityParty/bus:entityPartyReportingCalendar/bus:entityPartyReportingCalendarDescription
112,4,A,,bus:Entity Party Reporting Calendar Title,,0..1,,A description of the reporting period. The actual beginning and ending dates are found within the 'reportingCalendarPeriod' class,bus,bus:Reporting Calendar,BU13a_03,/BT30a/BU13a/BU13a_03,$.btx:Business Transactions.cor:Entity_ Party.bus:Reporting Calendar.bus:Reporting Calendar Title,BtxbTran.CornPart.BusrCaln.BusrCalnTitl,報告カレンダータイトル,報告期間の説明。実際の開始日及び終了日はreportingCalendarPeriodに記述する。,bus:entityPartyReportingCalendarTitle,/btx:businessTransactions/cor:entityParty/bus:entityPartyReportingCalendar/bus:entityPartyReportingCalendarTitle
113,4,A,,bus:Entity Party Reporting Calendar Type Code,,0..1,,"A code for the type of period involved. Enumerated as: monthly, quarterly, semi-annually, 4-5-4, ad-hoc, other.",bus,bus:Reporting Calendar,BU13a_04,/BT30a/BU13a/BU13a_04,$.btx:Business Transactions.cor:Entity_ Party.bus:Reporting Calendar.bus:Reporting Calendar Type Code,BtxbTran.CornPart.BusrCaln.BusrCalnTypeCod,期間種別コード,"報告期間の種別コード。月次、四半期ごと、半期ごと、4-5-4、随時、その他
[設定値のリスト]
(monthly：月次)、(quarterly：四半期ごと)、(semi-annually：半期ごと)、(4-5-4：4-5-4)、(ad-hoc：随時)、(other：その他)",bus:entityPartyReportingCalendarTypeCode,/btx:businessTransactions/cor:entityParty/bus:entityPartyReportingCalendar/bus:entityPartyReportingCalendarTypeCode
114,4,A,,bus:Entity Party Reporting Calendar Type Code Description,,0..1,,A description of the type of period involved.,bus,bus:Reporting Calendar,BU13a_05,/BT30a/BU13a/BU13a_05,$.btx:Business Transactions.cor:Entity_ Party.bus:Reporting Calendar.bus:Reporting Calendar Type Code Description,BtxbTran.CornPart.BusrCaln.BusrCalnTypeCodDesc,期間種別説明,報告期間の種別の説明。,bus:entityPartyReportingCalendarTypeCodeDescription,/btx:businessTransactions/cor:entityParty/bus:entityPartyReportingCalendar/bus:entityPartyReportingCalendarTypeCodeDescription
115,4,A,,bus:Entity Party Reporting Calendar Closed Status,,0..1,,"An identifier on whether the reporting calendar is still open for activity. enumerated, ""open"", ""closed"", ""pending""",bus,bus:Reporting Calendar,BU13a_06,/BT30a/BU13a/BU13a_06,$.btx:Business Transactions.cor:Entity_ Party.bus:Reporting Calendar.bus:Reporting Calendar Closed Status,BtxbTran.CornPart.BusrCaln.BusrCalnClosStat,締状態,"報告カレンダーがオープンかどうかを示す識別子。オープン、締切り済み、保留中
[設定値のリスト]
(open：オープン)、(closed：締切り済み)、(pending：保留中)",bus:entityPartyReportingCalendarClosedStatus,/btx:businessTransactions/cor:entityParty/bus:entityPartyReportingCalendar/bus:entityPartyReportingCalendarClosedStatus
116,4,A,,bus:Entity Party Reporting Calendar Purpose,,0..1,,A description of the accounting set of books involved. Uses enumeration from accounting method purpose.,bus,bus:Reporting Calendar,BU13a_07,/BT30a/BU13a/BU13a_07,$.btx:Business Transactions.cor:Entity_ Party.bus:Reporting Calendar.bus:Reporting Calendar Purpose,BtxbTran.CornPart.BusrCaln.BusrCalnPurp,報告目的,"帳簿の集合の説明。会計処理方法の目的の列挙値を使用する。
[設定値のリスト]
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)",bus:entityPartyReportingCalendarPurpose,/btx:businessTransactions/cor:entityParty/bus:entityPartyReportingCalendar/bus:entityPartyReportingCalendarPurpose
117,4,A,,bus:Entity Party Reporting Calendar Purpose Description,,0..1,,Free format description of the reporting purpose,bus,bus:Reporting Calendar,BU13a_08,/BT30a/BU13a/BU13a_08,$.btx:Business Transactions.cor:Entity_ Party.bus:Reporting Calendar.bus:Reporting Calendar Purpose Description,BtxbTran.CornPart.BusrCaln.BusrCalnPurpDesc,報告目的説明,報告目的の説明。,bus:entityPartyReportingCalendarPurposeDescription,/btx:businessTransactions/cor:entityParty/bus:entityPartyReportingCalendar/bus:entityPartyReportingCalendarPurposeDescription
118,4,C,,bus:Entity Party Reporting Calendar Period,,0..*,,A tool to collect a specific set of periods used to summarize results from transactions.,bus,bus:Reporting Calendar_ Period,BU12a,/BT30a/BU13a/BU12a,$.btx:Business Transactions.cor:Entity_ Party.bus:Reporting Calendar.bus:Reporting Calendar_ Period,BtxbTran.CornPart.BusrCaln.BusrCalnPerd,【報告カレンダー期間】,取引の結果をまとめるための特定の期間を集めるもの。,bus:entityPartyReportingCalendarPeriod,/btx:businessTransactions/cor:entityParty/bus:entityPartyReportingCalendar/bus:entityPartyReportingCalendarPeriod
119,5,A,PK,bus:Entity Party Reporting Calendar Period ID,,0..1,,An identifier for this period in this calendar,bus,bus:Reporting Calendar_ Period,BU12a_01,/BT30a/BU13a/BU12a/BU12a_01,$.btx:Business Transactions.cor:Entity_ Party.bus:Reporting Calendar.bus:Reporting Calendar_ Period.bus:Reporting Calendar Period ID,BtxbTran.CornPart.BusrCaln.BusrCalnPerd.BusrCalnPerdId,報告期間識別子,このカレンダーにおけるこの期間の識別子。,bus:entityPartyReportingCalendarPeriodId,/btx:businessTransactions/cor:entityParty/bus:entityPartyReportingCalendar/bus:entityPartyReportingCalendarPeriod/bus:entityPartyReportingCalendarPeriodId
120,5,A,,bus:Entity Party Reporting Calendar Period Description,,0..1,,A description of this specific reporting period in this calendar.,bus,bus:Reporting Calendar_ Period,BU12a_02,/BT30a/BU13a/BU12a/BU12a_02,$.btx:Business Transactions.cor:Entity_ Party.bus:Reporting Calendar.bus:Reporting Calendar_ Period.bus:Reporting Calendar Period Description,BtxbTran.CornPart.BusrCaln.BusrCalnPerd.BusrCalnPerdDesc,期間説明,このカレンダーにおけるこの特定の期間の説明。,bus:entityPartyReportingCalendarPeriodDescription,/btx:businessTransactions/cor:entityParty/bus:entityPartyReportingCalendar/bus:entityPartyReportingCalendarPeriod/bus:entityPartyReportingCalendarPeriodDescription
121,5,A,,bus:Entity Party Reporting Calendar Period Start Date,,0..1,,The beginning date/time of a period,bus,bus:Reporting Calendar_ Period,BU12a_03,/BT30a/BU13a/BU12a/BU12a_03,$.btx:Business Transactions.cor:Entity_ Party.bus:Reporting Calendar.bus:Reporting Calendar_ Period.bus:Reporting Calendar Period Start Date,BtxbTran.CornPart.BusrCaln.BusrCalnPerd.BusrCalnPerdStarDat,期間開始日付,期間の開始日付/時刻,bus:entityPartyReportingCalendarPeriodStartDate,/btx:businessTransactions/cor:entityParty/bus:entityPartyReportingCalendar/bus:entityPartyReportingCalendarPeriod/bus:entityPartyReportingCalendarPeriodStartDate
122,5,A,,bus:Entity Party Reporting Calendar Period End Date,,0..1,,The ending date/time of a period,bus,bus:Reporting Calendar_ Period,BU12a_04,/BT30a/BU13a/BU12a/BU12a_04,$.btx:Business Transactions.cor:Entity_ Party.bus:Reporting Calendar.bus:Reporting Calendar_ Period.bus:Reporting Calendar Period End Date,BtxbTran.CornPart.BusrCaln.BusrCalnPerd.BusrCalnPerdEndDat,期間終了日付,期間の終了日付/時刻,bus:entityPartyReportingCalendarPeriodEndDate,/btx:businessTransactions/cor:entityParty/bus:entityPartyReportingCalendar/bus:entityPartyReportingCalendarPeriod/bus:entityPartyReportingCalendarPeriodEndDate
123,5,A,,bus:Entity Party Reporting Calendar Period Closed Date,,0..1,,"The date/time a period has been closed for activity. If this is present with a nill value (xsi:nill=""true"") then the period is not closed.",bus,bus:Reporting Calendar_ Period,BU12a_05,/BT30a/BU13a/BU12a/BU12a_05,$.btx:Business Transactions.cor:Entity_ Party.bus:Reporting Calendar.bus:Reporting Calendar_ Period.bus:Reporting Calendar Period Closed Date,BtxbTran.CornPart.BusrCaln.BusrCalnPerd.BusrCalnPerdClosDat,期間締日付,"この期間の活動が締め切られた日付/時刻。この値がニル値(xsi:nill=""true"")であれば、この期間は、締め切られていない。",bus:entityPartyReportingCalendarPeriodClosedDate,/btx:businessTransactions/cor:entityParty/bus:entityPartyReportingCalendar/bus:entityPartyReportingCalendarPeriod/bus:entityPartyReportingCalendarPeriodClosedDate
124,3,C,,bus:Entity Party Reporting Calendar,,0..*,,A tool to collect the periods used to summarise results from transactions.,bus,bus:Entity Party_ Reporting Calendar,BU13b,/BT30a/BU13b,$.btx:Business Transactions.cor:Entity_ Party.bus:Entity Party_ Reporting Calendar,BtxbTran.CornPart.BusnPartReprCaln,【報告カレンダー】,取引の結果をまとめるための期間を集めるもの。,bus:entityPartyReportingCalendar,/btx:businessTransactions/cor:entityParty/bus:entityPartyReportingCalendar
125,4,A,,bus:Entity Party Reporting Calendar Code,,0..1,,"The code used to identify this specific reporting calendar, unique across periods",bus,bus:Entity Party_ Reporting Calendar,BU13b_01,/BT30a/BU13b/BU13b_01,$.btx:Business Transactions.cor:Entity_ Party.bus:Entity Party_ Reporting Calendar.bus:Entity Party Reporting Calendar Code,BtxbTran.CornPart.BusnPartReprCaln.BusnPartReprCalnCod,報告カレンダーコード,この報告カレンダーを識別するコード。複数期間にわたって一意。,bus:entityPartyReportingCalendarCode,/btx:businessTransactions/cor:entityParty/bus:entityPartyReportingCalendar/bus:entityPartyReportingCalendarCode
126,4,A,,bus:Entity Party Reporting Calendar Description,,0..1,,A description of the reporting calendar (associated with the reportingCalendarCode given),bus,bus:Entity Party_ Reporting Calendar,BU13b_02,/BT30a/BU13b/BU13b_02,$.btx:Business Transactions.cor:Entity_ Party.bus:Entity Party_ Reporting Calendar.bus:Entity Party Reporting Calendar Description,BtxbTran.CornPart.BusnPartReprCaln.BusnPartReprCalnDesc,報告カレンダー説明,報告カレンダーの説明（reportingCalendarCodeと関係付けられる）。,bus:entityPartyReportingCalendarDescription,/btx:businessTransactions/cor:entityParty/bus:entityPartyReportingCalendar/bus:entityPartyReportingCalendarDescription
127,4,A,,bus:Entity Party Reporting Calendar Title,,0..1,,A description of the reporting period. The actual beginning and ending dates are found within the 'reportingCalendarPeriod' class,bus,bus:Entity Party_ Reporting Calendar,BU13b_03,/BT30a/BU13b/BU13b_03,$.btx:Business Transactions.cor:Entity_ Party.bus:Entity Party_ Reporting Calendar.bus:Entity Party Reporting Calendar Title,BtxbTran.CornPart.BusnPartReprCaln.BusnPartReprCalnTitl,報告カレンダータイトル,報告期間の説明。実際の開始日及び終了日はreportingCalendarPeriodに記述する。,bus:entityPartyReportingCalendarTitle,/btx:businessTransactions/cor:entityParty/bus:entityPartyReportingCalendar/bus:entityPartyReportingCalendarTitle
128,4,A,,bus:Entity Party Reporting Calendar Type Code,,0..1,,"A code for the type of period involved. Enumerated as: monthly, quarterly, semi-annually, 4-5-4, ad-hoc, other.",bus,bus:Entity Party_ Reporting Calendar,BU13b_04,/BT30a/BU13b/BU13b_04,$.btx:Business Transactions.cor:Entity_ Party.bus:Entity Party_ Reporting Calendar.bus:Entity Party Reporting Calendar Type Code,BtxbTran.CornPart.BusnPartReprCaln.BusnPartReprCalnTypeCod,期間種別コード,"報告期間の種別コード。月次、四半期ごと、半期ごと、4-5-4、随時、その他
[設定値のリスト]
(monthly：月次)、(quarterly：四半期ごと)、(semi-annually：半期ごと)、(4-5-4：4-5-4)、(ad-hoc：随時)、(other：その他)",bus:entityPartyReportingCalendarTypeCode,/btx:businessTransactions/cor:entityParty/bus:entityPartyReportingCalendar/bus:entityPartyReportingCalendarTypeCode
129,4,A,,bus:Entity Party Reporting Calendar Type Code Description,,0..1,,A description of the type of period involved.,bus,bus:Entity Party_ Reporting Calendar,BU13b_05,/BT30a/BU13b/BU13b_05,$.btx:Business Transactions.cor:Entity_ Party.bus:Entity Party_ Reporting Calendar.bus:Entity Party Reporting Calendar Type Code Description,BtxbTran.CornPart.BusnPartReprCaln.BusnPartReprCalnTypeCodDesc,期間種別説明,報告期間の種別の説明。,bus:entityPartyReportingCalendarTypeCodeDescription,/btx:businessTransactions/cor:entityParty/bus:entityPartyReportingCalendar/bus:entityPartyReportingCalendarTypeCodeDescription
130,4,A,,bus:Entity Party Reporting Calendar Closed Status,,0..1,,"An identifier on whether the reporting calendar is still open for activity. enumerated, ""open"", ""closed"", ""pending""",bus,bus:Entity Party_ Reporting Calendar,BU13b_06,/BT30a/BU13b/BU13b_06,$.btx:Business Transactions.cor:Entity_ Party.bus:Entity Party_ Reporting Calendar.bus:Entity Party Reporting Calendar Closed Status,BtxbTran.CornPart.BusnPartReprCaln.BusnPartReprCalnClosStat,締状態,"報告カレンダーがオープンかどうかを示す識別子。オープン、締切り済み、保留中
[設定値のリスト]
(open：オープン)、(closed：締切り済み)、(pending：保留中)",bus:entityPartyReportingCalendarClosedStatus,/btx:businessTransactions/cor:entityParty/bus:entityPartyReportingCalendar/bus:entityPartyReportingCalendarClosedStatus
131,4,A,,bus:Entity Party Reporting Calendar Purpose,,0..1,,A description of the accounting set of books involved. Uses enumeration from accounting method purpose.,bus,bus:Entity Party_ Reporting Calendar,BU13b_07,/BT30a/BU13b/BU13b_07,$.btx:Business Transactions.cor:Entity_ Party.bus:Entity Party_ Reporting Calendar.bus:Entity Party Reporting Calendar Purpose,BtxbTran.CornPart.BusnPartReprCaln.BusnPartReprCalnPurp,報告目的,"帳簿の集合の説明。会計処理方法の目的の列挙値を使用する。
[設定値のリスト]
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)",bus:entityPartyReportingCalendarPurpose,/btx:businessTransactions/cor:entityParty/bus:entityPartyReportingCalendar/bus:entityPartyReportingCalendarPurpose
132,4,A,,bus:Entity Party Reporting Calendar Purpose Description,,0..1,,Free format description of the reporting purpose,bus,bus:Entity Party_ Reporting Calendar,BU13b_08,/BT30a/BU13b/BU13b_08,$.btx:Business Transactions.cor:Entity_ Party.bus:Entity Party_ Reporting Calendar.bus:Entity Party Reporting Calendar Purpose Description,BtxbTran.CornPart.BusnPartReprCaln.BusnPartReprCalnPurpDesc,報告目的説明,報告目的の説明。,bus:entityPartyReportingCalendarPurposeDescription,/btx:businessTransactions/cor:entityParty/bus:entityPartyReportingCalendar/bus:entityPartyReportingCalendarPurposeDescription
133,4,C,,bus:Entity Party Reporting Calendar Period,,0..*,,A tool to collect a specific set of periods used to summarize results from transactions.,bus,bus:Reporting Calendar_ Period,BU12b,/BT30a/BU13b/BU12b,$.btx:Business Transactions.cor:Entity_ Party.bus:Entity Party_ Reporting Calendar.bus:Reporting Calendar_ Period,BtxbTran.CornPart.BusnPartReprCaln.BusrCalnPerd,【報告カレンダー期間】,取引の結果をまとめるための特定の期間を集めるもの。,bus:entityPartyReportingCalendarPeriod,/btx:businessTransactions/cor:entityParty/bus:entityPartyReportingCalendar/bus:entityPartyReportingCalendarPeriod
134,5,A,PK,bus:Entity Party Reporting Calendar Period ID,,0..1,,An identifier for this period in this calendar,bus,bus:Reporting Calendar_ Period,BU12b_01,/BT30a/BU13b/BU12b/BU12b_01,$.btx:Business Transactions.cor:Entity_ Party.bus:Entity Party_ Reporting Calendar.bus:Reporting Calendar_ Period.bus:Entity Party Reporting Calendar Period ID,BtxbTran.CornPart.BusnPartReprCaln.BusrCalnPerd.BusnPartReprCalnPerdId,報告期間識別子,このカレンダーにおけるこの期間の識別子。,bus:entityPartyReportingCalendarPeriodId,/btx:businessTransactions/cor:entityParty/bus:entityPartyReportingCalendar/bus:entityPartyReportingCalendarPeriod/bus:entityPartyReportingCalendarPeriodId
