sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local
1338,5,A,REF,ID,Identifier,1..1,Identifier Short,"The reference identifier for individuals entering transactions into the accounting and/or ERP system.
",Sales,10,User,BS22o_01,/SL01a_GE08_01/BS22o_01,$.Sales Contract.Contract.Activities.(Last Modified) Activity.User.ID,SalCntrc.Acts.LastMdfdAct.Usr.Id,,
1339,3,C,,(Posted) Activity,,0..1,,A class that records specific actions or tasks completed or in progress.,Sales,0,(Posted) Activity,GE02p,/SL01a_GE08_01/GE02p,$.Sales Contract.Contract.Activities.(Posted) Activity,SalCntrc.Acts.PstdAct,,
1340,4,A,,Date,Date,0..1,DATE,"The date marks when an activity occurred, ideally recorded automatically by the system.",Sales,0,(Posted) Activity,GE02p_01,/SL01a_GE08_01/GE02p_01,$.Sales Contract.Contract.Activities.(Posted) Activity.Date,SalCntrc.Acts.PstdAct.Dt,,
1341,4,A,,Time,Time,0..1,TIME,The specified time at which an activity occurs.,Sales,0,(Posted) Activity,GE02p_02,/SL01a_GE08_01/GE02p_02,$.Sales Contract.Contract.Activities.(Posted) Activity.Time,SalCntrc.Acts.PstdAct.Tm,,
1342,4,R,,User,,0..1,,"The reference association to the User class, which is a class with user details, important for overseeing access, maintaining security, and tracking system use.",Sales,10,User,BS22p,/SL01a_GE08_01/BS22p,$.Sales Contract.Contract.Activities.(Posted) Activity.User,SalCntrc.Acts.PstdAct.Usr,,
1343,5,A,REF,ID,Identifier,1..1,Identifier Short,"The reference identifier for individuals entering transactions into the accounting and/or ERP system.
",Sales,10,User,BS22p_01,/SL01a_GE08_01/BS22p_01,$.Sales Contract.Contract.Activities.(Posted) Activity.User.ID,SalCntrc.Acts.PstdAct.Usr.Id,,
1344,2,R,,Business Segment,,0..*,,"The reference association to the Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",Sales,4,Business Segment,BS02i,/SL01a_GE08_01/BS02i,$.Sales Contract.Contract.Business Segment,SalCntrc.BusSg,,
1345,3,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,Sales,4,Business Segment,BS02i_01,/SL01a_GE08_01/BS02i/BS02i_01,$.Sales Contract.Contract.Business Segment.Code,SalCntrc.BusSg.Cd,,
1346,3,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",Sales,4,Business Segment,BS02i_03,/SL01a_GE08_01/BS02i/BS02i_03,$.Sales Contract.Contract.Business Segment.Segment Reference Level,SalCntrc.BusSg.SgRefLevl,,
1347,1,C,PK,ID,Identifier,1..1,Identifier Medium,The unique identifier for a line item within a contract.,Sales,0,ID,SL02a_GE09_01,/SL02a_GE09_01,$.Sales Contract Line.Contract Line.ID,SalContrLncntLn.Id,,
1348,2,A,PK,ID,Identifier,1..1,Identifier Medium,The unique identifier for a line item within a contract.,Sales,0,Contract Line,SL02b_GE09_01,/SL02a_GE09_01/SL02b_GE09_01,$.Sales Contract Line.Contract Line.ID,SalContrLncntLn.Id,,
1349,2,A,,Number,Char,0..1,Char Short,"The number for a specific line within a contract, enabling distinction and reference.",Sales,0,Contract Line,SL02c_GE09_02,/SL02a_GE09_01/SL02c_GE09_02,$.Sales Contract Line.Contract Line.Number,SalContrLncntLn.Nr,,
1350,2,A,,Due Date,Date,0..1,DATE,The final date by which delivery of products or materials is requested.,Sales,0,Contract Line,SL02d_GE09_03,/SL02a_GE09_01/SL02d_GE09_03,$.Sales Contract Line.Contract Line.Due Date,SalContrLncntLn.DDt,,
1351,2,A,,Status,Code,0..1,STATUS CODE,The current state of the contract line item's lifecycle.,Sales,0,Contract Line,SL02e_GE09_04,/SL02a_GE09_01/SL02e_GE09_04,$.Sales Contract Line.Contract Line.Status,SalContrLncntLn.Stat,,
1352,2,R,,(Settlement Organization) Business Segment,,0..1,,"The reference association to the Settlement Organization Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",Sales,4,(Settlement Organization) Business Segment,BS02j,/SL02a_GE09_01/BS02j,$.Sales Contract Line.Contract Line.(Settlement Organization) Business Segment,SalContrLncntLn.SettlOrgnzBusSg,,
1353,3,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,Sales,4,(Settlement Organization) Business Segment,BS02j_01,/SL02a_GE09_01/BS02j_01,$.Sales Contract Line.Contract Line.(Settlement Organization) Business Segment.Code,SalContrLncntLn.SettlOrgnzBusSg.Cd,,
1354,3,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",Sales,4,(Settlement Organization) Business Segment,BS02j_03,/SL02a_GE09_01/BS02j_03,$.Sales Contract Line.Contract Line.(Settlement Organization) Business Segment.Segment Reference Level,SalContrLncntLn.SettlOrgnzBusSg.SgRefLevl,,
1355,2,R,,Inventory Product,,0..1,,"The reference association to the Inventory Product class, which is a class that describes an inventory item with all its essential attributes and tracking details.",Sales,125,Inventory Product,IV01d,/SL02a_GE09_01/IV01d,$.Sales Contract Line.Contract Line.Inventory Product,SalContrLncntLn.InvPrdct,,
1356,3,A,REF,ID,Identifier,1..1,Identifier Medium,The reference identifier for an inventory item.,Sales,125,Inventory Product,IV01d_01,/SL02a_GE09_01/IV01d_01,$.Sales Contract Line.Contract Line.Inventory Product.ID,SalContrLncntLn.InvPrdct.Id,,
1357,2,C,,(Tax Exclude) Amount,,0..1,,A class that specifies a value of money in a given currency.,Sales,0,(Tax Exclude) Amount,GE04y,/SL02a_GE09_01/GE04y,$.Sales Contract Line.Contract Line.(Tax Exclude) Amount,SalContrLncntLn.TaxExcldAmt,,
1358,3,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,Sales,0,(Tax Exclude) Amount,GE04y_01,/SL02a_GE09_01/GE04y_01,$.Sales Contract Line.Contract Line.(Tax Exclude) Amount.Value,SalContrLncntLn.TaxExcldAmt.Val,,
1359,3,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",Sales,30,Currency,BS04a0,/SL02a_GE09_01/BS04a0,$.Sales Contract Line.Contract Line.(Tax Exclude) Amount.Currency,SalContrLncntLn.TaxExcldAmt.Cur,,
1360,4,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,Sales,30,Currency,BS04a0_01,/SL02a_GE09_01/BS04a0_01,$.Sales Contract Line.Contract Line.(Tax Exclude) Amount.Currency.Code,SalContrLncntLn.TaxExcldAmt.Cur.Cd,,
1361,2,C,,(Tax Exclude Unit Price) Amount,,0..1,,A class that specifies a value of money in a given currency.,Sales,0,(Tax Exclude Unit Price) Amount,GE04z,/SL02a_GE09_01/GE04z,$.Sales Contract Line.Contract Line.(Tax Exclude Unit Price) Amount,SalContrLncntLn.TaxExclUntPrcAmt,,
1362,3,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,Sales,0,(Tax Exclude Unit Price) Amount,GE04z_01,/SL02a_GE09_01/GE04z_01,$.Sales Contract Line.Contract Line.(Tax Exclude Unit Price) Amount.Value,SalContrLncntLn.TaxExclUntPrcAmt.Val,,
1363,3,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",Sales,30,Currency,BS04a1,/SL02a_GE09_01/BS04a1,$.Sales Contract Line.Contract Line.(Tax Exclude Unit Price) Amount.Currency,SalContrLncntLn.TaxExclUntPrcAmt.Cur,,
1364,4,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,Sales,30,Currency,BS04a1_01,/SL02a_GE09_01/BS04a1_01,$.Sales Contract Line.Contract Line.(Tax Exclude Unit Price) Amount.Currency.Code,SalContrLncntLn.TaxExclUntPrcAmt.Cur.Cd,,
1365,2,C,,(Tax Include) Amount,,0..1,,A class that specifies a value of money in a given currency.,Sales,0,(Tax Include) Amount,GE04a0,/SL02a_GE09_01/GE04a0,$.Sales Contract Line.Contract Line.(Tax Include) Amount,SalContrLncntLn.TaxIncldAmt,,
1366,3,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,Sales,0,(Tax Include) Amount,GE04a0_01,/SL02a_GE09_01/GE04a0_01,$.Sales Contract Line.Contract Line.(Tax Include) Amount.Value,SalContrLncntLn.TaxIncldAmt.Val,,
1367,3,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",Sales,30,Currency,BS04a2,/SL02a_GE09_01/BS04a2,$.Sales Contract Line.Contract Line.(Tax Include) Amount.Currency,SalContrLncntLn.TaxIncldAmt.Cur,,
1368,4,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,Sales,30,Currency,BS04a2_01,/SL02a_GE09_01/BS04a2_01,$.Sales Contract Line.Contract Line.(Tax Include) Amount.Currency.Code,SalContrLncntLn.TaxIncldAmt.Cur.Cd,,
1369,2,C,,(Tax Include Unit Price) Amount,,0..1,,A class that specifies a value of money in a given currency.,Sales,0,(Tax Include Unit Price) Amount,GE04a1,/SL02a_GE09_01/GE04a1,$.Sales Contract Line.Contract Line.(Tax Include Unit Price) Amount,SalContrLncntLn.TaxInclUntPrcAmt,,
1370,3,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,Sales,0,(Tax Include Unit Price) Amount,GE04a1_01,/SL02a_GE09_01/GE04a1_01,$.Sales Contract Line.Contract Line.(Tax Include Unit Price) Amount.Value,SalContrLncntLn.TaxInclUntPrcAmt.Val,,
1371,3,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",Sales,30,Currency,BS04a3,/SL02a_GE09_01/BS04a3,$.Sales Contract Line.Contract Line.(Tax Include Unit Price) Amount.Currency,SalContrLncntLn.TaxInclUntPrcAmt.Cur,,
1372,4,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,Sales,30,Currency,BS04a3_01,/SL02a_GE09_01/BS04a3_01,$.Sales Contract Line.Contract Line.(Tax Include Unit Price) Amount.Currency.Code,SalContrLncntLn.TaxInclUntPrcAmt.Cur.Cd,,
1373,2,C,,Quantity,,0..1,,"A class that measures the extent, size, or amount of items, including the unit of measurement.",Sales,0,Quantity,GE14f,/SL02a_GE09_01/GE14f,$.Sales Contract Line.Contract Line.Quantity,SalContrLncntLn.Qt,,
1374,3,A,,Value,Decimal,0..1,QUANTITY,The numerical amount of a specified item or resource.,Sales,0,Quantity,GE14f_01,/SL02a_GE09_01/GE14f_01,$.Sales Contract Line.Contract Line.Quantity.Value,SalContrLncntLn.Qt.Val,,
1375,3,R,,Measurement Unit,,0..1,,"The reference association to the Measurement Unit class, which is a class documents the units of measure utilized across various business documents and accounting ledgers.",Sales,32,Measurement Unit,BS12f,/SL02a_GE09_01/BS12f,$.Sales Contract Line.Contract Line.Quantity.Measurement Unit,SalContrLncntLn.Qt.MeaUnt,,
1376,4,A,REF,UOM Code,Identifier,1..1,MEASUREMENT UNIT CODE,The unique code for the unit of measure used in transactions.,Sales,32,Measurement Unit,BS12f_01,/SL02a_GE09_01/BS12f_01,$.Sales Contract Line.Contract Line.Quantity.Measurement Unit.UOM Code,SalContrLncntLn.Qt.MeaUnt.UomCd,,
1377,2,R,,Business Segment,,0..*,,"The reference association to the Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",Sales,4,Business Segment,BS02k,/SL02a_GE09_01/BS02k,$.Sales Contract Line.Contract Line.Business Segment,SalContrLncntLn.BusSg,,
1378,3,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,Sales,4,Business Segment,BS02k_01,/SL02a_GE09_01/BS02k/BS02k_01,$.Sales Contract Line.Contract Line.Business Segment.Code,SalContrLncntLn.BusSg.Cd,,
1379,3,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",Sales,4,Business Segment,BS02k_03,/SL02a_GE09_01/BS02k/BS02k_03,$.Sales Contract Line.Contract Line.Business Segment.Segment Reference Level,SalContrLncntLn.BusSg.SgRefLevl,,
1380,2,C,,Tax,,0..*,,"A class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",Sales,0,Tax,GE15e,/SL02a_GE09_01/GE15e,$.Sales Contract Line.Contract Line.Tax,SalContrLncntLn.Tx,,
1381,3,R,,(Credit) Ledger Account,,0..1,,"The reference association to the Credit Ledger Account class, which is a class stores information about General Ledger accounts.",Sales,20,(Credit) Ledger Account,BS10k,/SL02a_GE09_01/GE15e/BS10k,$.Sales Contract Line.Contract Line.Tax.(Credit) Ledger Account,SalContrLncntLn.Tx.CrdtLedgrAcnt,,
1382,4,A,REF,Account Number,Identifier,1..1,LEDGER ACCOUNT NUMBER,"The reference identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",Sales,20,(Credit) Ledger Account,BS10k_01,/SL02a_GE09_01/GE15e/BS10k_01,$.Sales Contract Line.Contract Line.Tax.(Credit) Ledger Account.Account Number,SalContrLncntLn.Tx.CrdtLedgrAcnt.AcntNr,,
1383,3,R,,(Debit) Ledger Account,,0..1,,"The reference association to the Debit Ledger Account class, which is a class stores information about General Ledger accounts.",Sales,20,(Debit) Ledger Account,BS10l,/SL02a_GE09_01/GE15e/BS10l,$.Sales Contract Line.Contract Line.Tax.(Debit) Ledger Account,SalContrLncntLn.Tx.DebtLedgrAcnt,,
1384,4,A,REF,Account Number,Identifier,1..1,LEDGER ACCOUNT NUMBER,"The reference identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",Sales,20,(Debit) Ledger Account,BS10l_01,/SL02a_GE09_01/GE15e/BS10l_01,$.Sales Contract Line.Contract Line.Tax.(Debit) Ledger Account.Account Number,SalContrLncntLn.Tx.DebtLedgrAcnt.AcntNr,,
1385,3,R,,Tax Type,,0..1,,"The reference association to the Tax Type class, which is a class outlining detailed classifications of tax types that the business encounters, supporting accurate tax reporting and compliance.",Sales,42,Tax Type,BS21e,/SL02a_GE09_01/GE15e/BS21e,$.Sales Contract Line.Contract Line.Tax.Tax Type,SalContrLncntLn.Tx.TxTyp,,
1386,4,A,REF,Code,Identifier,1..1,TAX TYPE CODE,The unique code used to classify a tax type.,Sales,42,Tax Type,BS21e_01,/SL02a_GE09_01/GE15e/BS21e_01,$.Sales Contract Line.Contract Line.Tax.Tax Type.Code,SalContrLncntLn.Tx.TxTyp.Cd,,
1387,3,C,,(Local) Amount,,0..1,,A class that specifies a value of money in a given currency.,Sales,0,(Local) Amount,GE04a2,/SL02a_GE09_01/GE15e/GE04a2,$.Sales Contract Line.Contract Line.Tax.(Local) Amount,SalContrLncntLn.Tx.LclAmt,,
1388,4,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,Sales,0,(Local) Amount,GE04a2_01,/SL02a_GE09_01/GE15e/GE04a2_01,$.Sales Contract Line.Contract Line.Tax.(Local) Amount.Value,SalContrLncntLn.Tx.LclAmt.Val,,
1389,4,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",Sales,30,Currency,BS04a4,/SL02a_GE09_01/GE15e/BS04a4,$.Sales Contract Line.Contract Line.Tax.(Local) Amount.Currency,SalContrLncntLn.Tx.LclAmt.Cur,,
1390,5,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,Sales,30,Currency,BS04a4_01,/SL02a_GE09_01/GE15e/BS04a4_01,$.Sales Contract Line.Contract Line.Tax.(Local) Amount.Currency.Code,SalContrLncntLn.Tx.LclAmt.Cur.Cd,,
1391,3,C,,(Transaction) Amount,,0..1,,A class that specifies a value of money in a given currency.,Sales,0,(Transaction) Amount,GE04a3,/SL02a_GE09_01/GE15e/GE04a3,$.Sales Contract Line.Contract Line.Tax.(Transaction) Amount,SalContrLncntLn.Tx.TrnscAmt,,
1392,4,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,Sales,0,(Transaction) Amount,GE04a3_01,/SL02a_GE09_01/GE15e/GE04a3_01,$.Sales Contract Line.Contract Line.Tax.(Transaction) Amount.Value,SalContrLncntLn.Tx.TrnscAmt.Val,,
1393,4,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",Sales,30,Currency,BS04a5,/SL02a_GE09_01/GE15e/BS04a5,$.Sales Contract Line.Contract Line.Tax.(Transaction) Amount.Currency,SalContrLncntLn.Tx.TrnscAmt.Cur,,
1394,5,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,Sales,30,Currency,BS04a5_01,/SL02a_GE09_01/GE15e/BS04a5_01,$.Sales Contract Line.Contract Line.Tax.(Transaction) Amount.Currency.Code,SalContrLncntLn.Tx.TrnscAmt.Cur.Cd,,
1395,1,C,PK,ID,Identifier,1..1,Identifier Medium,The unique identifier for an invoice.,Sales,0,ID,SL03a_GE10_01,/SL03a_GE10_01,$.Sales Invoice.Invoice.ID,SalInvci.Id,,
1396,2,A,PK,ID,Identifier,1..1,Identifier Medium,The unique identifier for an invoice.,Sales,0,Invoice,SL03b_GE10_01,/SL03a_GE10_01/SL03b_GE10_01,$.Sales Invoice.Invoice.ID,SalInvci.Id,,
1397,2,A,,Number,Char,0..1,Char Long,The number for an invoice.,Sales,0,Invoice,SL03c_GE10_02,/SL03a_GE10_01/SL03c_GE10_02,$.Sales Invoice.Invoice.Number,SalInvci.Nr,,
1398,2,A,,Official Invoice Code,Char,0..1,Char Short,The identifier for an invoice that is assigned by tax authorities.,Sales,0,Invoice,SL03d_GE10_03,/SL03a_GE10_01/SL03d_GE10_03,$.Sales Invoice.Invoice.Official Invoice Code,SalInvci.OffclInvoiCd,,
1399,2,A,,Type Name,Name,0..1,Name Short,The descriptor that categorizes the nature of an invoice.,Sales,0,Invoice,SL03e_GE10_04,/SL03a_GE10_01/SL03e_GE10_04,$.Sales Invoice.Invoice.Type Name,SalInvci.TypNam,,
1400,2,A,,Date,Date,0..1,DATE,The official date recorded on an invoice which initiates the calculation period for payment due.,Sales,0,Invoice,SL03f_GE10_05,/SL03a_GE10_01/SL03f_GE10_05,$.Sales Invoice.Invoice.Date,SalInvci.Dt,,
1401,2,A,,Due Date,Date,0..1,DATE,The date by which payment for an invoice is required.,Sales,0,Invoice,SL03g_GE10_06,/SL03a_GE10_01/SL03g_GE10_06,$.Sales Invoice.Invoice.Due Date,SalInvci.DDt,,
1402,2,A,,Terms Discount Percentage,Decimal,0..1,Percent,The percentage of discount offered by a supplier when payment is made within the specified discount days.,Sales,0,Invoice,SL03h_GE10_07,/SL03a_GE10_01/SL03h_GE10_07,$.Sales Invoice.Invoice.Terms Discount Percentage,SalInvci.TermsDscntPerc,,
1403,2,A,,Terms Discount Days,Integer,0..1,INTEGER,The number of days from the invoice date that the customer is eligible for the discount if payment is made.,Sales,0,Invoice,SL03i_GE10_08,/SL03a_GE10_01/SL03i_GE10_08,$.Sales Invoice.Invoice.Terms Discount Days,SalInvci.TermsDscntDays,,
1404,2,A,,Terms Due Days,Integer,0..1,INTEGER,The standard time period in days before a customer's payment is considered overdue.,Sales,0,Invoice,SL03j_GE10_09,/SL03a_GE10_01/SL03j_GE10_09,$.Sales Invoice.Invoice.Terms Due Days,SalInvci.TermsDDays,,
1405,2,A,,Grouping Code,Char,0..1,Char Long,The code that aggregates related invoices for consolidated processing or organizational purposes within an ERP system.,Sales,0,Invoice,SL03k_GE10_10,/SL03a_GE10_01/SL03k_GE10_10,$.Sales Invoice.Invoice.Grouping Code,SalInvci.GrpCd,,
1406,2,A,,Status,Code,0..1,STATUS CODE,The current state of the invoice's lifecycle.,Sales,0,Invoice,SL03l_GE10_11,/SL03a_GE10_01/SL03l_GE10_11,$.Sales Invoice.Invoice.Status,SalInvci.Stat,,
1407,2,A,,Remark,Text,0..1,Text Medium,Annotations or supplemental information for an invoice.,Sales,0,Invoice,SL03m_GE10_12,/SL03a_GE10_01/SL03m_GE10_12,$.Sales Invoice.Invoice.Remark,SalInvci.Remrk,,
1408,2,R,,Payment Term,,0..1,,"The reference association to the Payment Term class, which is a class details conditions related to sales or purchase agreements, including payment instruments, credit periods, and discount terms.",Sales,34,Payment Term,BS13e,/SL03a_GE10_01/BS13e,$.Sales Invoice.Invoice.Payment Term,SalInvci.PayTerm,,
1409,3,A,REF,Code,Identifier,1..1,PAYMENT TERM CODE,The unique code denoting the terms of payment.,Sales,34,Payment Term,BS13e_01,/SL03a_GE10_01/BS13e_01,$.Sales Invoice.Invoice.Payment Term.Code,SalInvci.PayTerm.Cd,,
1410,2,R,,Settlement Method,,0..1,,"The reference association to the Settlement Method class, which is a class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",Sales,28,Settlement Method,BS15e,/SL03a_GE10_01/BS15e,$.Sales Invoice.Invoice.Settlement Method,SalInvci.SetlMethd,,
1411,3,A,REF,Code,Identifier,1..1,Identifier Medium,The unique code describing how a transaction is settled.,Sales,28,Settlement Method,BS15e_01,/SL03a_GE10_01/BS15e_01,$.Sales Invoice.Invoice.Settlement Method.Code,SalInvci.SetlMethd.Cd,,
1412,2,C,,Activities,,0..1,,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Sales,0,Activities,GE01e,/SL03a_GE10_01/GE01e,$.Sales Invoice.Invoice.Activities,SalInvci.Acts,,
1413,3,C,,(Approved) Activity,,0..1,,A class that records specific actions or tasks completed or in progress.,Sales,0,(Approved) Activity,GE02q,/SL03a_GE10_01/GE02q,$.Sales Invoice.Invoice.Activities.(Approved) Activity,SalInvci.Acts.ApprvAct,,
1414,4,A,,Date,Date,0..1,DATE,"The date marks when an activity occurred, ideally recorded automatically by the system.",Sales,0,(Approved) Activity,GE02q_01,/SL03a_GE10_01/GE02q_01,$.Sales Invoice.Invoice.Activities.(Approved) Activity.Date,SalInvci.Acts.ApprvAct.Dt,,
1415,4,A,,Time,Time,0..1,TIME,The specified time at which an activity occurs.,Sales,0,(Approved) Activity,GE02q_02,/SL03a_GE10_01/GE02q_02,$.Sales Invoice.Invoice.Activities.(Approved) Activity.Time,SalInvci.Acts.ApprvAct.Tm,,
1416,4,R,,User,,0..1,,"The reference association to the User class, which is a class with user details, important for overseeing access, maintaining security, and tracking system use.",Sales,10,User,BS22q,/SL03a_GE10_01/BS22q,$.Sales Invoice.Invoice.Activities.(Approved) Activity.User,SalInvci.Acts.ApprvAct.Usr,,
1417,5,A,REF,ID,Identifier,1..1,Identifier Short,"The reference identifier for individuals entering transactions into the accounting and/or ERP system.
",Sales,10,User,BS22q_01,/SL03a_GE10_01/BS22q_01,$.Sales Invoice.Invoice.Activities.(Approved) Activity.User.ID,SalInvci.Acts.ApprvAct.Usr.Id,,
1418,3,C,,(Created) Activity,,0..1,,A class that records specific actions or tasks completed or in progress.,Sales,0,(Created) Activity,GE02r,/SL03a_GE10_01/GE02r,$.Sales Invoice.Invoice.Activities.(Created) Activity,SalInvci.Acts.CrtdAct,,
1419,4,A,,Date,Date,0..1,DATE,"The date marks when an activity occurred, ideally recorded automatically by the system.",Sales,0,(Created) Activity,GE02r_01,/SL03a_GE10_01/GE02r_01,$.Sales Invoice.Invoice.Activities.(Created) Activity.Date,SalInvci.Acts.CrtdAct.Dt,,
1420,4,A,,Time,Time,0..1,TIME,The specified time at which an activity occurs.,Sales,0,(Created) Activity,GE02r_02,/SL03a_GE10_01/GE02r_02,$.Sales Invoice.Invoice.Activities.(Created) Activity.Time,SalInvci.Acts.CrtdAct.Tm,,
1421,4,R,,User,,0..1,,"The reference association to the User class, which is a class with user details, important for overseeing access, maintaining security, and tracking system use.",Sales,10,User,BS22r,/SL03a_GE10_01/BS22r,$.Sales Invoice.Invoice.Activities.(Created) Activity.User,SalInvci.Acts.CrtdAct.Usr,,
1422,5,A,REF,ID,Identifier,1..1,Identifier Short,"The reference identifier for individuals entering transactions into the accounting and/or ERP system.
",Sales,10,User,BS22r_01,/SL03a_GE10_01/BS22r_01,$.Sales Invoice.Invoice.Activities.(Created) Activity.User.ID,SalInvci.Acts.CrtdAct.Usr.Id,,
1423,3,C,,(Last Modified) Activity,,0..1,,A class that records specific actions or tasks completed or in progress.,Sales,0,(Last Modified) Activity,GE02s,/SL03a_GE10_01/GE02s,$.Sales Invoice.Invoice.Activities.(Last Modified) Activity,SalInvci.Acts.LastMdfdAct,,
1424,4,A,,Date,Date,0..1,DATE,"The date marks when an activity occurred, ideally recorded automatically by the system.",Sales,0,(Last Modified) Activity,GE02s_01,/SL03a_GE10_01/GE02s_01,$.Sales Invoice.Invoice.Activities.(Last Modified) Activity.Date,SalInvci.Acts.LastMdfdAct.Dt,,
1425,4,A,,Time,Time,0..1,TIME,The specified time at which an activity occurs.,Sales,0,(Last Modified) Activity,GE02s_02,/SL03a_GE10_01/GE02s_02,$.Sales Invoice.Invoice.Activities.(Last Modified) Activity.Time,SalInvci.Acts.LastMdfdAct.Tm,,
1426,4,R,,User,,0..1,,"The reference association to the User class, which is a class with user details, important for overseeing access, maintaining security, and tracking system use.",Sales,10,User,BS22s,/SL03a_GE10_01/BS22s,$.Sales Invoice.Invoice.Activities.(Last Modified) Activity.User,SalInvci.Acts.LastMdfdAct.Usr,,
1427,5,A,REF,ID,Identifier,1..1,Identifier Short,"The reference identifier for individuals entering transactions into the accounting and/or ERP system.
",Sales,10,User,BS22s_01,/SL03a_GE10_01/BS22s_01,$.Sales Invoice.Invoice.Activities.(Last Modified) Activity.User.ID,SalInvci.Acts.LastMdfdAct.Usr.Id,,
1428,3,C,,(Posted) Activity,,0..1,,A class that records specific actions or tasks completed or in progress.,Sales,0,(Posted) Activity,GE02t,/SL03a_GE10_01/GE02t,$.Sales Invoice.Invoice.Activities.(Posted) Activity,SalInvci.Acts.PstdAct,,
1429,4,A,,Date,Date,0..1,DATE,"The date marks when an activity occurred, ideally recorded automatically by the system.",Sales,0,(Posted) Activity,GE02t_01,/SL03a_GE10_01/GE02t_01,$.Sales Invoice.Invoice.Activities.(Posted) Activity.Date,SalInvci.Acts.PstdAct.Dt,,
1430,4,A,,Time,Time,0..1,TIME,The specified time at which an activity occurs.,Sales,0,(Posted) Activity,GE02t_02,/SL03a_GE10_01/GE02t_02,$.Sales Invoice.Invoice.Activities.(Posted) Activity.Time,SalInvci.Acts.PstdAct.Tm,,
1431,4,R,,User,,0..1,,"The reference association to the User class, which is a class with user details, important for overseeing access, maintaining security, and tracking system use.",Sales,10,User,BS22t,/SL03a_GE10_01/BS22t,$.Sales Invoice.Invoice.Activities.(Posted) Activity.User,SalInvci.Acts.PstdAct.Usr,,
1432,5,A,REF,ID,Identifier,1..1,Identifier Short,"The reference identifier for individuals entering transactions into the accounting and/or ERP system.
",Sales,10,User,BS22t_01,/SL03a_GE10_01/BS22t_01,$.Sales Invoice.Invoice.Activities.(Posted) Activity.User.ID,SalInvci.Acts.PstdAct.Usr.Id,,
1433,2,C,,(Transaction) Amount,,0..1,,A class that specifies a value of money in a given currency.,Sales,0,(Transaction) Amount,GE04a4,/SL03a_GE10_01/GE04a4,$.Sales Invoice.Invoice.(Transaction) Amount,SalInvci.TrnscAmt,,
1434,3,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,Sales,0,(Transaction) Amount,GE04a4_01,/SL03a_GE10_01/GE04a4_01,$.Sales Invoice.Invoice.(Transaction) Amount.Value,SalInvci.TrnscAmt.Val,,
