sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local,xpath
1083,5,A,,Prefix,Char,0..1,,"Prefix (e.g. Dr., Mr., Mrs.)",gl-cor,0,Contact,BU06b_01,/CO12a/CO03a/BU08b/BU06b/BU06b_01,$.Accounting Entries.Entity Information.Accountant.Contact.Prefix,AccntEntrs.EnttyInfrm.Accnt.Cnt.Prfx,敬称,敬称(Dr.、Mr.、Mrs.など),
1084,5,A,,Last Name,Name,0..1,,Last or family name,gl-cor,0,Contact,BU06b_02,/CO12a/CO03a/BU08b/BU06b/BU06b_02,$.Accounting Entries.Entity Information.Accountant.Contact.Last Name,AccntEntrs.EnttyInfrm.Accnt.Cnt.LastNam,姓,姓,
1085,5,A,,First Name,Name,0..1,,First or given name,gl-cor,0,Contact,BU06b_03,/CO12a/CO03a/BU08b/BU06b/BU06b_03,$.Accounting Entries.Entity Information.Accountant.Contact.First Name,AccntEntrs.EnttyInfrm.Accnt.Cnt.FrstNam,名,名、クリスチャンネーム,
1086,5,A,,Suffix,Char,0..1,,"Suffix (e.g. MD, CPA, Jr.)",gl-cor,0,Contact,BU06b_04,/CO12a/CO03a/BU08b/BU06b/BU06b_04,$.Accounting Entries.Entity Information.Accountant.Contact.Suffix,AccntEntrs.EnttyInfrm.Accnt.Cnt.Sffx,付加名称,付加名称(MD、CPA、Jr.など),
1087,5,A,,Attention Line,Name,0..1,,Attention Line,gl-cor,0,Contact,BU06b_05,/CO12a/CO03a/BU08b/BU06b/BU06b_05,$.Accounting Entries.Entity Information.Accountant.Contact.Attention Line,AccntEntrs.EnttyInfrm.Accnt.Cnt.AttntLn,アテンションライン,アテンションライン,
1088,5,A,,Position/Role,Name,0..1,,Position or role,gl-cor,0,Contact,BU06b_06,/CO12a/CO03a/BU08b/BU06b/BU06b_06,$.Accounting Entries.Entity Information.Accountant.Contact.Position/Role,AccntEntrs.EnttyInfrm.Accnt.Cnt.Pstnr,地位/役職,地位や役職。,
1089,5,A,,Role of Contact,Name,0..1,,"Role of contact. Examples include: Source Service, Sender, Recipient, Invoicer, Auditor, Accountant",gl-cor,0,Contact,BU06b_07,/CO12a/CO03a/BU08b/BU06b/BU06b_07,$.Accounting Entries.Entity Information.Accountant.Contact.Role of Contact,AccntEntrs.EnttyInfrm.Accnt.Cnt.RlOfCnt,担当者役割,担当者の役割。例：ソースサービス、送付元、受取人、請求先、監査人、会計士。,
1090,5,A,,Location ID cross reference,Name,0..1,,This code is used to associate the contact with a specific location for the Entity. Its value should be the same as that of the organizationAddressLocationIdentifier,gl-cor,0,Contact,BU06b_08,/CO12a/CO03a/BU08b/BU06b/BU06b_08,$.Accounting Entries.Entity Information.Accountant.Contact.Location ID cross reference,AccntEntrs.EnttyInfrm.Accnt.Cnt.LctIdCrssRef,所在地相互参照情報,担当者と事業体の位置情報を関係付けるためのコード。organizationAddressLocationIdentifierと同じ値であるべき。,
1091,5,C,,Phone Number,,0..*,,Primary phone number of the entity.,gl-cor,0,Phone Number,BU01b,/CO12a/CO03a/BU08b/BU06b/BU01b,$.Accounting Entries.Entity Information.Accountant.Contact.Phone Number,AccntEntrs.EnttyInfrm.Accnt.Cnt.PhnNr,【事業体電話番号】,事業体の主要電話番号情報。,
1092,6,A,,Description,Text,0..1,,"Entity Phone Number Description such as Main, Investor relations.",gl-cor,0,Phone Number,BU01b_01,/CO12a/CO03a/BU08b/BU06b/BU01b/BU01b_01,$.Accounting Entries.Entity Information.Accountant.Contact.Phone Number.Description,AccntEntrs.EnttyInfrm.Accnt.Cnt.PhnNr.Dscr,事業体電話番号説明,"代表、IR用などの、事業体の電話番号の説明。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他) ",
