sequence,level,property_type,identifier,class_term,property_term,representation_term,associated_class,multiplicity,definition,module,label_local,definition_local,id,inherited,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
8733.0,2.0,Attribute,,Party,Name, Text,,0..1,"A name, expressed as text.",Abstract Class,,,UN2010_03,50.0,,,,,,,,,,,
8734.0,2.0,Attribute,,Party,Access Rights, Code,,0..1,The code specifying the lodging house party's access rights.,Abstract Class,,,UN2010_04,10.0,,,,,,,,,,,
8735.0,2.0,Attribute,,Party,Role, Code,,0..1,"A role, expressed as text.",Abstract Class,,,UN2010_05,16.0,,,,,,,,,,,
9953.0,2.0,Attribute,,Party,Description, Text,,0..1,The textual description.,Abstract Class,,,UN2068_03,16.0,,,,,,,,,,,
12938.0,2.0,Attribute,,Party,DUNS_ Identification, Identifier,,0..1,The unique Data Universal Numbering System (DUNS) number identifier.,Abstract Class,,,UN2139_07,9.0,,,,,,,,,,,
13299.0,2.0,Attribute,,Party,Residence Country, Identifier,,0..1,The identifier of the residence country of the contact party.,Abstract Class,,,UN2147_06,8.0,,,,,,,,,,,
13460.0,2.0,Attribute,,Party,BIC_ Identification, Identifier,,0..1,"The unique Bank Identifier Code (BIC) as defined by ISO 9362 (Banking telecommunication messages, Bank Identifier Codes).",Abstract Class,,,UN2306_01,7.0,,,,,,,,,,,
13461.0,2.0,Attribute,,Party,IBEI_ Identification, Identifier,,0..1,The unique International Business Entity Identifier (IBEI).,Abstract Class,,,UN2306_02,7.0,,,,,,,,,,,
13463.0,2.0,Attribute,,Party,GLN_ Identification, Identifier,,0..1,A Global Location Number (GLN) identifier.,Abstract Class,,,UN2306_04,8.0,,,,,,,,,,,
13464.0,2.0,Attribute,,Party,CHIPS Universal_ Identification, Identifier,,0..1,The unique (United States) Clearing House Interbank Payments System (CHIPS) Universal Identification (UID) as assigned by the New York Clearing House.,Abstract Class,,,UN2306_05,7.0,,,,,,,,,,,
13467.0,2.0,Attribute,,Party,Drivers License_ Identification, Identifier,,0..1,The unique drivers license identifier.,Abstract Class,,,UN2306_08,7.0,,,,,,,,,,,
13468.0,2.0,Attribute,,Party,Customer_ Identification, Identifier,,0..1,The unique customer identifier.,Abstract Class,,,UN2306_09,7.0,,,,,,,,,,,
13469.0,2.0,Attribute,,Party,Social Security_ Identification, Identifier,,0..1,The unique social security identifier.,Abstract Class,,,UN2306_10,7.0,,,,,,,,,,,
13470.0,2.0,Attribute,,Party,Alien Registration_ Identification, Identifier,,0..1,The unique alien registration identifier.,Abstract Class,,,UN2306_11,7.0,,,,,,,,,,,
13471.0,2.0,Attribute,,Party,Passport_ Identification, Identifier,,0..1,The unique passport identifier.,Abstract Class,,,UN2306_12,7.0,,,,,,,,,,,
13472.0,2.0,Attribute,,Party,Identity Card_ Identification, Identifier,,0..1,The unique identity card identifier.,Abstract Class,,,UN2306_13,7.0,,,,,,,,,,,
13476.0,2.0,Attribute,,Party,Bank Assigned_ Identification, Text,,0..1,"The unique bank assigned identification, expressed as text.",Abstract Class,,,UN2306_17,7.0,,,,,,,,,,,
19339.0,2.0,Attribute,,Party,BEI_ Identification, Identifier,,0..1,"The unique Business Entity Identifier (BEI) as defined by ISO 9362 (Banking telecommunication messages, Bank Identifier Codes).",Abstract Class,,,UN2220_09,8.0,,,,,,,,,,,
19450.0,2.0,Attribute,,Party,Country, Identifier,,0..1,The country identifier.,Abstract Class,,,UN2223_04,5.0,,,,,,,,,,,
8736.0,2.0,Attribute,,Party,Language, Code,,0..*,A code specifying a language.,Abstract Class,,,UN2010_06,13.0,,,,,,,,,,,
10671.0,2.0,Attribute,,Party,Additional_ Identification, Identifier,,0..*,An additional identifier of the buyer party.,Abstract Class,,,UN2292_02,14.0,,,,,,,,,,,
10672.0,2.0,Attribute,,Party,Tax_ Identification, Identifier,,0..*,A unique tax identifier.,Abstract Class,,,UN2292_03,21.0,,,,,,,,,,,
13475.0,2.0,Attribute,,Party,Proprietary_ Identification, Text,,0..2,"A proprietary identification, expressed as text.",Abstract Class,,,UN2306_16,7.0,,,,,,,,,,,
10204.0,2.0,Composition,,Party,Party,,Contact,0..1,A party for the party.,Abstract Class,,,UN2084_04,5.0,,,,,,,,,,,
10205.0,2.0,Composition,,Party,Unstructured,,Address,0..1,The unstructured office address.,Abstract Class,,,UN2084_05,22.0,,,,,,,,,,,
10383.0,2.0,Composition,,Party,Project,,Organization,0..1,The project organization specified.,Abstract Class,,,UN2095_06,5.0,,,,,,,,,,,
10384.0,2.0,Composition,,Party,Project,,Person,0..1,The project person specified.,Abstract Class,,,UN2095_07,5.0,,,,,,,,,,,
10676.0,2.0,Composition,,Party,Post Box,,Address,0..1,The post box postal address.,Abstract Class,,,UN2292_07,14.0,,,,,,,,,,,
10932.0,2.0,Composition,,Party,Financial Institution,,Address,0..1,The financial institution postal address.,Abstract Class,,,UN2296_02,8.0,,,,,,,,,,,
13477.0,2.0,Composition,,Party,Payment,,Person,0..1,The payment person specified.,Abstract Class,,,UN2306_18,7.0,,,,,,,,,,,
13479.0,2.0,Composition,,Party,Employer,,Identity,0..1,The employer identity specified.,Abstract Class,,,UN2306_20,7.0,,,,,,,,,,,
10677.0,2.0,Composition,,Party,Trade,,Contact,0..*,A defined trade contact.,Abstract Class,,,UN2292_08,16.0,,,,,,,,,,,
13301.0,2.0,Composition,,Party,Structured,,Address,0..*,A structured for the party.,Abstract Class,,,UN2147_08,23.0,,,,,,,,,,,
13480.0,2.0,Composition,,Party,Proprietary Identification Issuer,,Identity,0..2,A proprietary identification issuer specified.,Abstract Class,,,UN2306_21,7.0,,,,,,,,,,,
148.0,1.0,Abstract Class,,Software,,,,,Computer programs and related operating information used to perform tasks or support processes.,Abstract Class,,,UN2010,,,,,,,,,,,,
8738.0,2.0,Attribute,,Software,Author Name, Text,,0..1,"The author's name, expressed as text.",Abstract Class,,,UN2011_01,5.0,,,,,,,,,,,
8739.0,2.0,Attribute,,Software,Name, Text,,0..1,"The name, expressed as text, of the wrap software.",Abstract Class,,,UN2011_02,5.0,,,,,,,,,,,
8740.0,2.0,Attribute,,Software,Version, Identifier,,0..1,The identifier of the version of the archive software.,Abstract Class,,,UN2011_03,5.0,,,,,,,,,,,
181.0,1.0,Abstract Class,,Accounting Account,,,,,An account used to record and classify debits and credits for accounting purposes.,Abstract Class,,,UN2015,,,,,,,,,,,,
8771.0,2.0,Attribute,,Accounting Account,Identification, Identifier,,1..1,An identifier for the accounting account.,Abstract Class,,,UN2016_01,15.0,,,,,,,,,,,
8772.0,2.0,Attribute,,Accounting Account,Type, Code,,0..1,"The code specifying the type of journal accounting account, such as general, secondary, cost accounting or budget account.",Abstract Class,,,UN2016_02,15.0,,,,,,,,,,,
8773.0,2.0,Attribute,,Accounting Account,Sub Account, Identifier,,0..1,A sub account for the accounting account.,Abstract Class,,,UN2016_03,9.0,,,,,,,,,,,
8774.0,2.0,Attribute,,Accounting Account,Name, Text,,0..1,"The name, expressed as text.",Abstract Class,,,UN2016_04,9.0,,,,,,,,,,,
8775.0,2.0,Attribute,,Accounting Account,Abbreviated Name, Text,,0..1,"The abbreviated name, expressed as text.",Abstract Class,,,UN2016_05,8.0,,,,,,,,,,,
8910.0,2.0,Attribute,,Accounting Account,Set Trigger, Code,,0..1,A code specifying a set trigger.,Abstract Class,,,UN2025_05,11.0,,,,,,,,,,,
8912.0,2.0,Attribute,,Accounting Account,Amount Type, Code,,0..1,The code specifying the amount type.,Abstract Class,,,UN2025_07,11.0,,,,,,,,,,,
8913.0,2.0,Attribute,,Accounting Account,Main Accounts Chart, Identifier,,0..1,A main accounts chart for the accounting account.,Abstract Class,,,UN2025_08,5.0,,,,,,,,,,,
8914.0,2.0,Attribute,,Accounting Account,Main Accounts Chart Reference, Identifier,,0..1,The unique identifier.,Abstract Class,,,UN2025_09,5.0,,,,,,,,,,,
224.0,1.0,Abstract Class,,Contact,,,,,"A person, department, or point of contact for communication between parties.",Abstract Class,,,UN2016,,,,,,,,,,,,
8814.0,2.0,Attribute,,Contact,Identification, Identifier,,0..1,An identifier for the contact.,Abstract Class,,,UN2017_01,11.0,,,,,,,,,,,
8815.0,2.0,Attribute,,Contact,Job Title, Text,,0..1,"The job title, expressed as text.",Abstract Class,,,UN2017_02,10.0,,,,,,,,,,,
8816.0,2.0,Attribute,,Contact,Responsibility, Text,,0..1,"The responsibility, expressed as text.",Abstract Class,,,UN2017_03,9.0,,,,,,,,,,,
8817.0,2.0,Attribute,,Contact,Department Name, Text,,0..1,"The department name, expressed as text.",Abstract Class,,,UN2017_04,10.0,,,,,,,,,,,
8818.0,2.0,Attribute,,Contact,Type, Code,,0..1,The code specifying the type of contact.,Abstract Class,,,UN2017_05,9.0,,,,,,,,,,,
12887.0,2.0,Attribute,,Contact,Person Name, Text,,0..1,"The name, expressed as text, of the person.",Abstract Class,,,UN2136_02,10.0,,,,,,,,,,,
231.0,1.0,Abstract Class,,Financial Account,,,,,An arrangement in which monetary debits and credits arising from transactions are recorded.,Abstract Class,,,UN2017,,,,,,,,,,,,
8821.0,2.0,Attribute,,Financial Account,IBAN_ Identification, Identifier,,0..1,The International Bank Account Number (IBAN) identifier.,Abstract Class,,,UN2018_01,20.0,,,,,,,,,,,
8822.0,2.0,Attribute,,Financial Account,Type, Code,,0..1,The code specifying the type of financial account.,Abstract Class,,,UN2018_02,18.0,,,,,,,,,,,
