version,sequence,level,property_type,identifier,class_term,property_term,representation_term,associated_class,multiplicity,definition,acronym,code_list,attribute,element,label_local,definition_local,DEN,UNID
v4,53,2,Composition,,CIIH_ Supply Chain_ Trade Transaction,Included,,CIIL_ Supply Chain_ Trade Line Item,1..n,A Cross Industry Invoice Line (CIIL) supply chain trade line item included in this CIIH supply chain trade transaction.,ASBIE, ,,IncludedCIILSupplyChainTradeLineItem,インボイス文書取引／明細文書ヘッダグループ,インボイス文書に組み込まれる明細文書ヘッダのグループ,CIIH_ Supply Chain_ Trade Transaction. Included. CIIL_ Supply Chain_ Trade Line Item,UN01005940
v1,54,1,Class,,CIIH_ Supply Chain_ Trade Agreement,,,,－,The contractual terms of the supply chain trade agreement for this Cross Industry Invoice Header (CIIH).,ABIE,  ,,CIIHSupplyChainTradeAgreement,インボイス文書契約クラス,インボイス文書に関する契約に関する情報からなるクラス。,CIIH_ Supply Chain_ Trade Agreement. Details,UN01005878
v1,55,2,Composition,,CIIH_ Supply Chain_ Trade Agreement,Seller,,CI_ Trade_ Party,1..1,The party that is the seller for this CIIH supply chain trade agreement.,ASBIE,  ,,SellerCITradeParty,インボイス文書契約／受注者グループ,受注者に関するグループ。,CIIH_ Supply Chain_ Trade Agreement. Seller. CI_ Trade_ Party,UN01005879
v1,56,2,Composition,,CIIH_ Supply Chain_ Trade Agreement,Buyer,,CI_ Trade_ Party,1..1,The party that is the buyer for this CIIH supply chain trade agreement.,ASBIE,  ,,BuyerCITradeParty,インボイス文書契約／発注者グループ,発注者に関するグループ。,CIIH_ Supply Chain_ Trade Agreement. Buyer. CI_ Trade_ Party,UN01005880
v1,57,2,Composition,,CIIH_ Supply Chain_ Trade Agreement,Specified,,Procuring_ Project,0..1,The procuring project specified for this CIIH supply chain trade agreement.,ASBIE, ,,SpecifiedProcuringProject,インボイス文書契約／プロジェクト調達グループ,プロジェクト調達に関するグループ,CIIH_ Supply Chain_ Trade Agreement. Specified. Procuring_ Project,UN01011516
v1,58,1,Class,,CI_ Trade_ Party,,,,－,"An individual, a group, or a body having a role in a Cross Industry (CI) trade business function.",ABIE,,,CITradeParty,事業者クラス,事業者に関する情報からなるクラス。,CI_ Trade_ Party. Details,UN01005756
v1,59,2,Attribute,,CI_ Trade_ Party,Identification,Identifier,,0..1,A unique identifier of this CI trade party.,BBIE,  ,,ID,事業者ID,企業/工場・事業所・事業部門等を表すID。デフォルトはデータなし。,CI_ Trade_ Party. Identification. Identifier,UN01005757
v1,60,2,Attribute,,CI_ Trade_ Party,Name,Text,,0..1,"The name, expressed as text, for this CI trade party.",BBIE,,ISO639言語コード,Name,事業者名称,企業/工場・事業所・事業部門等の名称,CI_ Trade_ Party. Name. Text,UN01005759
v4,61,2,Attribute,,CI_ Trade_ Party,Registered_ Identification,Identifier,,0..1,The registered identifier of this CI trade party.,BBIE,ISO6523,,RegisteredID,適格請求書発行事業者登録番号,"登録された事業者の適格請求書発行事業者登録番号
（免税事業者についてはなし）",CI_ Trade_ Party. Registered_ Identification. Identifier,UN01013039
v1,62,2,Composition,,CI_ Trade_ Party,Defined,,CI_ Trade_ Contact,0..1,A trade contact defined for this CI trade party.,ASBIE, ,,DefinedCITradeContact,事業者／連絡先グループ,事業者の連絡先に関するグループ,CI_ Trade_ Party. Defined. CI_ Trade_ Contact,UN01005761
