version,sequence,level,type,identifier,UNID,acronym,label_local,multiplicity,class,property_term,representation_term,associated_class,definition_local,code_list,DEN,definition,short_name,element,xpath
v4.1,187,4,C,,UN01005998,ASBIE,明細文書ヘッダ文書決済／明細文書ヘッダ追加請求グループ,0..n,CIIL_ Supply Chain_ Trade Settlement,Specified,,CI_ Trade_ Allowance Charge,明細文書ヘッダの明細文書ヘッダ追加請求のグループ, ,CIIL_ Supply Chain_ Trade Settlement. Specified. CI_ Trade_ Allowance Charge,,,SpecifiedCITradeAllowanceCharge,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeSettlement/SpecifiedCITradeAllowanceCharge
v4.1,189,5,A,,UN01005707,BBIE,"明細文書ヘッダ返金・追加請求判別子
＝追加請求（Charge）",1..1,CI_ Trade_ Allowance Charge,Charge,Indicator,,"明細文書ヘッダ返金と明細文書ヘッダ追加請求を識別する判別子
＝True(Charge)", ,CI_ Trade_ Allowance Charge. Charge. Indicator,,,ChargeIndicator,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeSettlement/SpecifiedCITradeAllowanceCharge/CategoryCITradeTax
v4.1,190,5,A,,UN01005713,BBIE,明細文書ヘッダ追加請求金額,0..1,CI_ Trade_ Allowance Charge,Actual,Amount,,この明細文書ヘッダの明細文書ヘッダに紐付く追加請求金額,"通貨コード
ISO4217",CI_ Trade_ Allowance Charge. Actual. Amount,,,ActualAmount,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeSettlement/SpecifiedCITradeAllowanceCharge/ChargeIndicator
v4.1,191,5,A,,UN01005714,BBIE,明細文書ヘッダ追加請求理由コード,0..1,CI_ Trade_ Allowance Charge,Reason,Code,,この明細文書ヘッダ追加請求の理由を識別するコード,UNCL5189,CI_ Trade_ Allowance Charge. Reason. Code,,,ReasonCode,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeSettlement/SpecifiedCITradeAllowanceCharge/ActualAmount
v4.1,192,5,A,,UN01005715,BBIE,明細文書ヘッダ追加請求理由,0..1,CI_ Trade_ Allowance Charge,Reason,Text,,この明細文書ヘッダ追加請求の理由（内容）の説明,"言語コード
ISO639",CI_ Trade_ Allowance Charge. Reason. Text,,,Reason,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeSettlement/SpecifiedCITradeAllowanceCharge/ReasonCode
v4.1,193,5,C,,UN01005716,ASBIE,明細文書ヘッダ返金／明細文書ヘッダ追加請求税グループ,0..n,CI_ Trade_ Allowance Charge,Category,,CI_ Trade_ Tax,明細文書ヘッダ追加請求の税に関するグループ, ,CI_ Trade_ Allowance Charge. Category. CI_ Trade_ Tax,,,CategoryCITradeTax,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeSettlement/SpecifiedCITradeAllowanceCharge/Reason
v4.1,195,6,A,,UN01005841,BBIE,明細文書ヘッダ追加請求課税分類コード,1..1,CI_ Trade_ Tax,Category,Code,,明細文書ヘッダ追加請求の課税分類コード,UNCL5305,CI_ Trade_ Tax. Category. Code,,,CategoryCode,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeSettlement/SpecifiedCITradeAllowanceCharge/CategoryCITradeTax/RateApplicablePercent
v4.1,196,6,A,,UN01007174,BBIE,明細文書ヘッダ追加請求税率,0..1,CI_ Trade_ Tax,Rate_ Applicable,Percent,,明細文書ヘッダ追加請求の税率, ,CI_ Trade_ Tax. Rate_ Applicable. Percent,,,RateApplicablePercent,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeSettlement/SpecifiedCITradeAllowanceCharge/CategoryCITradeTax/CategoryCode
v1,197,4,C,,UN01005996,ASBIE,明細文書ヘッダ決済／明細文書ヘッダ税グループ,1..n,CIIL_ Supply Chain_ Trade Settlement,Applicable,,CI_ Trade_ Tax,明細文書ヘッダの税に関するグループ。, ,CIIL_ Supply Chain_ Trade Settlement. Applicable. CI_ Trade_ Tax,,,ApplicableCITradeTax,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeSettlement/SpecifiedCITradeAllowanceCharge
v2,199,5,A,,UN01005833,BBIE,明細文書ヘッダ課税分類税額,0..1,CI_ Trade_ Tax,Calculated,Amount,,"明細文書ヘッダの課税分類毎に端数処理計算した税額。
算出した税額は切り上げ、切り捨て、四捨五入のいずれかで処理し、税額は整数とする
＜税抜きの場合＞明細文書ヘッダ課税分類課税対象合計金額×税率
＜税込みの場合＞明細文書ヘッダ課税分類課税対象合計金額×税率／(１＋税率)","通貨コード
ISO4217",CI_ Trade_ Tax. Calculated. Amount,,,CalculatedAmount,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeSettlement/ApplicableCITradeTax/CategoryCITradeTax
