version,sequence,level,type,identifier,UNID,acronym,label_local,multiplicity,class_term,property_term,representation_term,associated_class,definition_local,code_list,attribute,DEN,definition,short_name,name,element,xpath
v1,13,2,C,,UN01005483,ASBIE,取引設定内容/取引シナリオグループ,0..1,CI_ Exchanged Document_ Context,Scenario_ Specified,,CI_ Document Context_ Parameter,取引設定内容の取引シナリオに関する情報,,,CI_ Exchanged Document_ Context. Scenario_ Specified. CI_ Document Context_ Parameter,A scenario CI document context parameter specified for this CI exchanged document context.,Scenario,ExchangedDocumentContextScenarioDocumentContextParameter,ScenarioDocumentContextParameter,/SMECoreSelfInvoice/ExchangedDocumentContext/ScenarioDocumentContextParameter
v1,15,3,A,,UN01005472,BBIE,取引シナリオID,0..1,CI_ Document Context_ Parameter,Identification,Identifier,,取引シナリオの識別番号,,,CI_ Document Context_ Parameter. Identification. Identifier,The unique identifier of this CI document context parameter.,ID,ExchangedScenarioDocumentContextParameterID,ID,/SMECoreSelfInvoice/ExchangedDocumentContext/ScenarioDocumentContextParameter/ID
v1,16,3,A,,UN01005473,BBIE,取引シナリオ名,0..1,CI_ Document Context_ Parameter,Value,Text,,取引シナリオの名称,,,CI_ Document Context_ Parameter. Value. Text,"The value, expressed as text, of this CI document context parameter.",Value Text,ExchangedScenarioDocumentContextParameterValueText,Value,/SMECoreSelfInvoice/ExchangedDocumentContext/ScenarioDocumentContextParameter/Value
v1,17,2,C,,UN01005484,ASBIE,取引設定内容/アプリケーショングループ,0..1,CI_ Exchanged Document_ Context,Application_ Specified,,CI_ Document Context_ Parameter,取引設定内容のアプリケーションに関する情報,,,CI_ Exchanged Document_ Context. Application_ Specified. CI_ Document Context_ Parameter,An application CI document context parameter specified for this CI exchanged document context.,Application,ExchangedDocumentContextApplicationDocumentContextParameter,ApplicationDocumentContextParameter,/SMECoreSelfInvoice/ExchangedDocumentContext/ApplicationDocumentContextParameter
v1,19,3,A,,UN01005472,BBIE,アプリケーションID,0..1,CI_ Document Context_ Parameter,Identification,Identifier,,業務アプリケーションが実装する業界・業種識別番号,,,CI_ Document Context_ Parameter. Identification. Identifier,The unique identifier of this CI document context parameter.,ID,ExchangedApplicationDocumentContextParameterID,ID,/SMECoreSelfInvoice/ExchangedDocumentContext/ApplicationDocumentContextParameter/ID
v1,20,3,A,,UN01005473,BBIE,アプリケーション名,0..1,CI_ Document Context_ Parameter,Value,Text,,業務アプリケーションが実装する業界・業種名称,,,CI_ Document Context_ Parameter. Value. Text,"The value, expressed as text, of this CI document context parameter.",Value Text,ExchangedApplicationDocumentContextParameterValueText,Value,/SMECoreSelfInvoice/ExchangedDocumentContext/ApplicationDocumentContextParameter/Value
v1,21,2,C,,UN01005486,ASBIE,取引設定内容/ドメイングループ,1..1,CI_ Exchanged Document_ Context,Subset_ Specified,,CI_ Document Context_ Parameter,取引設定内容のドメインの情報に関する情報,,,CI_ Exchanged Document_ Context. Subset_ Specified. CI_ Document Context_ Parameter,A subset CI document context parameter specified for this CI exchanged document context.,Subset,ExchangedDocumentContextSubsetDocumentContextParameter,SubsetDocumentContextParameter,/SMECoreSelfInvoice/ExchangedDocumentContext/SubsetDocumentContextParameter
v1,23,3,A,,UN01005472,BBIE,ドメインID,0..1,CI_ Document Context_ Parameter,Identification,Identifier,,"SIPSが付与したメッセージドメイン識別番号
中小企業共通EDIドメイン＝JPSSMED",JECxxxx,,CI_ Document Context_ Parameter. Identification. Identifier,The unique identifier of this CI document context parameter.,ID,ExchangedSubsetDocumentContextParameterID,ID,/SMECoreSelfInvoice/ExchangedDocumentContext/SubsetDocumentContextParameter/ID
v1,24,3,A,,UN01005473,BBIE,ドメイン名,0..1,CI_ Document Context_ Parameter,Value,Text,,SIPSが付与したメッセージドメイン名称,,,CI_ Document Context_ Parameter. Value. Text,"The value, expressed as text, of this CI document context parameter.",Value Text,ExchangedSubsetDocumentContextParameterValueText,Value,/SMECoreSelfInvoice/ExchangedDocumentContext/SubsetDocumentContextParameter/Value
v1,25,3,C,,UN01005474,ASBIE,ドメイン/バージョングループ,0..1,CI_ Document Context_ Parameter,Specified,,CI_ Document_ Version,ドメインのバージョンに関する情報,,,CI_ Document Context_ Parameter. Specified. CI_ Document_ Version,The CI document version specified for this CI document context parameter.,Version,ExchangedSubsetDocumentContextParameterDocumentVersion,DocumentVersion,/SMECoreSelfInvoice/ExchangedDocumentContext/SubsetDocumentContextParameter/DocumentVersion
