sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local,element,xpath
365,5,A,,Description,xbrli:stringItemType,0..1,,Description of tax authority,gl-cor,0,Tax Information,CO13a_03,/CO16a/CO15a/CO14a/CO13a/CO13a_03,$.Accounting Entries.Entry Header.Entry Detail.Tax Information.Description,AccntgEntrs.EntryHedr.EntryDetl.TaxInfrmn.Descrptn,課税庁説明,課税庁の説明。,gl-cor:taxInformationDescription,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:taxInformation/gl-cor:taxInformationDescription
366,5,A,,Amount of Taxes,xbrli:monetaryItemType,0..1,,Amount of taxes,gl-cor,0,Tax Information,CO13a_04,/CO16a/CO15a/CO14a/CO13a/CO13a_04,$.Accounting Entries.Entry Header.Entry Detail.Tax Information.Amount of Taxes,AccntgEntrs.EntryHedr.EntryDetl.TaxInfrmn.AmntTaxs,税額,税額。,gl-cor:taxInformationAmountOfTaxes,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:taxInformation/gl-cor:taxInformationAmountOfTaxes
367,5,A,,Basis for Taxation,xbrli:monetaryItemType,0..1,,Basis for taxation,gl-cor,0,Tax Information,CO13a_05,/CO16a/CO15a/CO14a/CO13a/CO13a_05,$.Accounting Entries.Entry Header.Entry Detail.Tax Information.Basis for Taxation,AccntgEntrs.EntryHedr.EntryDetl.TaxInfrmn.BassTaxtn,課税基準,課税基準。,gl-cor:taxInformationBasisForTaxation,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:taxInformation/gl-cor:taxInformationBasisForTaxation
368,5,A,,Percentage Rate,xbrli:pureItemType,0..1,,Percent rate for VAT or other taxes normally a number between 0 and 1.0 - e.g. 50% is represented as 0.5,gl-cor,0,Tax Information,CO13a_06,/CO16a/CO15a/CO14a/CO13a/CO13a_06,$.Accounting Entries.Entry Header.Entry Detail.Tax Information.Percentage Rate,AccntgEntrs.EntryHedr.EntryDetl.TaxInfrmn.PercntgRat,税率,"VAT(物品税)またはその他の税のパーセント比率。
0から1.0の間の値。たとえば50%は0.5とあらわす。",gl-cor:taxInformationPercentageRate,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:taxInformation/gl-cor:taxInformationPercentageRate
369,5,A,,Category,xbrli:stringItemType,0..1,,A class or category of taxes,gl-cor,0,Tax Information,CO13a_07,/CO16a/CO15a/CO14a/CO13a/CO13a_07,$.Accounting Entries.Entry Header.Entry Detail.Tax Information.Category,AccntgEntrs.EntryHedr.EntryDetl.TaxInfrmn.Catgry,税区分,税のクラス又はカテゴリ。,gl-cor:taxInformationCategory,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:taxInformation/gl-cor:taxInformationCategory
370,5,A,,Comment/Exemption Reason,xbrli:stringItemType,0..1,,Additional text/code for exemption reasons or other comments.,gl-cor,0,Tax Information,CO13a_08,/CO16a/CO15a/CO14a/CO13a/CO13a_08,$.Accounting Entries.Entry Header.Entry Detail.Tax Information.Comment/Exemption Reason,AccntgEntrs.EntryHedr.EntryDetl.TaxInfrmn.CommntxmptnResn,税コメント/免税理由,免税理由やその他のコメントのための、追加の文またはコード。,gl-cor:taxInformationCommentExemptionReason,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:taxInformation/gl-cor:taxInformationCommentExemptionReason
371,5,A,,Amount in Foreign Currency,xbrli:monetaryItemType,0..1,,"If the tax is in a foreign currency, the amount of tax in that currency",gl-cor,0,Tax Information,CO13a_MC13_09,/CO16a/CO15a/CO14a/CO13a/CO13a_MC13_09,$.Accounting Entries.Entry Header.Entry Detail.Tax Information.Amount in Foreign Currency,AccntgEntrs.EntryHedr.EntryDetl.TaxInfrmn.AmntForgnCurrncy,外貨建税額,税が外貨建ての場合の、税額。,gl-cor:taxInformationAmountInForeignCurrency,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:taxInformation/gl-cor:taxInformationAmountInForeignCurrency
372,5,A,,Foreign Currency,xbrli:QNameItemType,0..1,,"If the tax is in a foreign currency, that currency",gl-cor,0,Tax Information,CO13a_MC13_10,/CO16a/CO15a/CO14a/CO13a/CO13a_MC13_10,$.Accounting Entries.Entry Header.Entry Detail.Tax Information.Foreign Currency,AccntgEntrs.EntryHedr.EntryDetl.TaxInfrmn.ForgnCurrncy,外貨建税額通貨,税が外貨建ての場合の、通貨。,gl-cor:taxInformationForeignCurrency,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:taxInformation/gl-cor:taxInformationForeignCurrency
373,5,A,,Exchange Rate Date,xbrli:dateTimeItemType,0..1,,"If the tax is in a foreign currency, the date or date and time of the exchange rate used",gl-cor,0,Tax Information,CO13a_MC13_11,/CO16a/CO15a/CO14a/CO13a/CO13a_MC13_11,$.Accounting Entries.Entry Header.Entry Detail.Tax Information.Exchange Rate Date,AccntgEntrs.EntryHedr.EntryDetl.TaxInfrmn.ExchngRatDat,税額換算レート日付,税が外貨建ての場合の、換算レートの日付または日付/時刻。,gl-cor:taxInformationExchangeRateDate,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:taxInformation/gl-cor:taxInformationExchangeRateDate
374,5,A,,Exchange Rate,xbrli:pureItemType,0..1,,"If the tax is in a foreign currency, the exchange rate used expressed as national currency divided by foreign currency",gl-cor,0,Tax Information,CO13a_MC13_12,/CO16a/CO15a/CO14a/CO13a/CO13a_MC13_12,$.Accounting Entries.Entry Header.Entry Detail.Tax Information.Exchange Rate,AccntgEntrs.EntryHedr.EntryDetl.TaxInfrmn.ExchngRat,税額換算レート,税が外貨建ての場合の、換算レート。自国通貨を外貨で割った値。,gl-cor:taxInformationExchangeRate,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:taxInformation/gl-cor:taxInformationExchangeRate
