sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local,element
1113,4,A,,Identifier Organization Type Description,xbrli:stringItemType,0..1,,Free format description of the identifier organization type,gl-cor,0,Party,CO08a_04,/CO02a/CO08a_04,$.Accounting Entries.Entity Information.Party.Identifier Organization Type Description,AccntEntrs.EnttyInfrm.Part.IdntfOrgTypDscr,CVE組織種別説明,CVE識別子の組織種別の説明。,gl-cor:identifierOrganizationTypeDescription
1114,4,A,,Identifier Description,xbrli:stringItemType,0..1,,Textual description of identifierReference.,gl-cor,0,Party,CO08a_05,/CO02a/CO08a_05,$.Accounting Entries.Entity Information.Party.Identifier Description,AccntEntrs.EnttyInfrm.Part.IdntfDscr,CVE説明,identifierReferenceの説明。,gl-cor:identifierDescription
1115,4,A,,Identifier Type,xbrli:stringItemType,0..1,,"Entity type (enumerated): e.g., customer, vendor, employee.",gl-cor,0,Party,CO08a_06,/CO02a/CO08a_06,$.Accounting Entries.Entity Information.Party.Identifier Type,AccntEntrs.EnttyInfrm.Part.IdntfTyp,CVE種別,実体の種別。例えば、顧客、仕入先、従業員。\n[設定値のリスト]\n(C)、(customer：顧客)、(E)、(employee：従業員)、(V)、(vendor：仕入先)、(O)、(other：その他)、(I)、(salesperson-internal：店舗内販売員)、(X)、(salesperson-external：外交販売員)、(N)、(contractor：請負者) ,gl-cor:identifierType
1116,4,A,,Identifier Category,xbrli:stringItemType,0..1,,"For use as Customer, Vendor or Employee Class (such as Residential/Commercial/Institutional/Government or Retail/Wholesale or other classifications used by business).",gl-cor,0,Party,CO08a_07,/CO02a/CO08a_07,$.Accounting Entries.Entity Information.Party.Identifier Category,AccntEntrs.EnttyInfrm.Part.IdntfCatgr,CVEカテゴリ,顧客、仕入先、従業員の分類に使用する。　（住居/商業/機関/政府や、小売/卸や、ビジネスで使用されるその他の分類）。,gl-cor:identifierCategory
1117,4,A,,Identifier Purpose,xbrli:stringItemType,0..1,,"Freeform for codes like purchasing, billing, manufacturing at identifier level.",gl-cor,0,Party,CO08a_BU08_11,/CO02a/CO08a_BU08_11,$.Accounting Entries.Entity Information.Party.Identifier Purpose,AccntEntrs.EnttyInfrm.Part.IdntfPrps,CVE目的,購買、請求、製造などの、CVE識別子のレベルのコードの自由記述。,gl-bus:identifierPurpose
1118,4,C,,External Authority,,0..1,,Structure containing references to an external authority associated with identifier,gl-cor,0,External Authority,CO07a,/CO02a/CO07a,$.Accounting Entries.Entity Information.Party.External Authority,AccntEntrs.EnttyInfrm.Part.ExtAthrt,【外部機関】,識別子と関係付けられる外部機関への参照情報を含む構造体。,gl-cor:identifierExternalReference
1119,5,A,,External Authority ID Number,xbrli:stringItemType,0..1,,"External Authority (e,g, Tax Authority) ID Number associated with identifierReference",gl-cor,0,External Authority,CO07a_01,/CO02a/CO07a_01,$.Accounting Entries.Entity Information.Party.External Authority.External Authority ID Number,AccntEntrs.EnttyInfrm.Part.ExtAthrt.ExtAthrtIdNr,外部機関付与識別番号,identifierReferenceと関係付けられる、外部機関（たとえば、税務署）によるID番号。,gl-cor:identifierAuthorityCode
1120,5,A,,External Authority,xbrli:stringItemType,0..1,,Name of External Authority (e.g. Tax Authority),gl-cor,0,External Authority,CO07a_02,/CO02a/CO07a_02,$.Accounting Entries.Entity Information.Party.External Authority.External Authority,AccntEntrs.EnttyInfrm.Part.ExtAthrt.ExtAthrt,外部機関名,外部機関の名前（たとえば、税務署）,gl-cor:identifierAuthority
1121,5,A,,External Authority Verification Date,xbrli:stringItemType,0..1,,Date on which the External Authority last performed a verification,gl-cor,0,External Authority,CO07a_03,/CO02a/CO07a_03,$.Accounting Entries.Entity Information.Party.External Authority.External Authority Verification Date,AccntEntrs.EnttyInfrm.Part.ExtAthrt.ExtAthrtVerfcDt,外部機関認証日付,外部機関が最後に認証した日付。,gl-cor:identifierAuthorityVerificationDate
1122,4,C,,Email Address,,0..1,,E-mail address structure,gl-cor,0,Email Address,GE03d,/CO02a/GE03d,$.Accounting Entries.Entity Information.Party.Email Address,AccntEntrs.EnttyInfrm.Part.EmlAdr,【Eメールアドレス】,Eメールアドレスの構造体。,gl-cor:identifierEMail
1123,5,A,,Usage,xbrli:stringItemType,0..1,,"E-mail address usage (e.g. orders, head office, IR)",gl-cor,0,Email Address,GE03d_01,/CO02a/GE03d_01,$.Accounting Entries.Entity Information.Party.Email Address.Usage,AccntEntrs.EnttyInfrm.Part.EmlAdr.Usg,Eメールアドレス用途,Eメールアドレスの用途。(注文、本社、IRなど),gl-cor:identifierEmailAddressUsage
1124,5,A,,Address,xbrli:stringItemType,0..1,,E-mail address,gl-cor,0,Email Address,GE03d_02,/CO02a/GE03d_02,$.Accounting Entries.Entity Information.Party.Email Address.Address,AccntEntrs.EnttyInfrm.Part.EmlAdr.Adr,Eメールアドレス,Eメールアドレス。,gl-cor:identifierEmailAddress
1125,4,C,,Phone Number,,0..1,,Phone Number,gl-cor,0,Phone Number,GE05d,/CO02a/GE05d,$.Accounting Entries.Entity Information.Party.Phone Number,AccntEntrs.EnttyInfrm.Part.PhnNr,【電話番号】,電話番号,gl-cor:identifierPhoneNumber
1126,5,A,,Description,xbrli:stringItemType,0..1,,"Phone Number Description such as Main, Investor relations, etc.",gl-cor,0,Phone Number,GE05d_01,/CO02a/GE05d_01,$.Accounting Entries.Entity Information.Party.Phone Number.Description,AccntEntrs.EnttyInfrm.Part.PhnNr.Dscr,電話番号説明,代表、IR用などの、電話番号の説明。 [設定値のリスト] (bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR担当者)、(main：代表)、(switchboard：交換台)、(other：その他) ,gl-cor:identifierPhoneNumberDescription
1127,5,A,,Number,xbrli:stringItemType,0..1,,phone number referred to in the description.,gl-cor,0,Phone Number,GE05d_02,/CO02a/GE05d_02,$.Accounting Entries.Entity Information.Party.Phone Number.Number,AccntEntrs.EnttyInfrm.Part.PhnNr.Nr,電話番号,説明で示される担電話番号,gl-cor:identifierPhone
1128,4,C,,Fax Number,,0..1,,Fax Number Structure,gl-cor,0,Fax Number,GE04d,/CO02a/GE04d,$.Accounting Entries.Entity Information.Party.Fax Number,AccntEntrs.EnttyInfrm.Part.FaxNr,【FAX番号】,FAX番号の構造体。,gl-cor:identifierFaxNumber
1129,5,A,,Number,xbrli:stringItemType,0..1,,Fax Number,gl-cor,0,Fax Number,GE04d_01,/CO02a/GE04d_01,$.Accounting Entries.Entity Information.Party.Fax Number.Number,AccntEntrs.EnttyInfrm.Part.FaxNr.Nr,FAX番号,FAX番号。,gl-cor:identifierFax
1130,5,A,,Usage,xbrli:stringItemType,0..1,,"Fax Number Usage (e.g. orders, head office, IR)",gl-cor,0,Fax Number,GE04d_02,/CO02a/GE04d_02,$.Accounting Entries.Entity Information.Party.Fax Number.Usage,AccntEntrs.EnttyInfrm.Part.FaxNr.Usg,FAX番号用途,FAX番号の用途。(注文、本社、IRなど),gl-cor:identifierFaxNumberUsage
1131,4,C,,Address,,0..1,,Section which contains address information.,gl-cor,0,Address,GE01c,/CO02a/GE01c,$.Accounting Entries.Entity Information.Party.Address,AccntEntrs.EnttyInfrm.Part.Adr,【住所】,住所情報を含むセクション。,gl-bus:identifierAddress
1133,5,A,,Address Description,xbrli:stringItemType,0..1,,Address Description,gl-cor,0,Address,GE01c_02,/CO02a/GE01c_02,$.Accounting Entries.Entity Information.Party.Address.Address Description,AccntEntrs.EnttyInfrm.Part.Adr.AdrDscr,住所説明,住所の説明。,gl-bus:identifierAddressDescription
1134,5,A,,Address Purpose,xbrli:stringItemType,0..1,,Address Purpose,gl-cor,0,Address,GE01c_03,/CO02a/GE01c_03,$.Accounting Entries.Entity Information.Party.Address.Address Purpose,AccntEntrs.EnttyInfrm.Part.Adr.AdrPrps,住所目的,住所の目的。,gl-bus:identifierAddressPurpose
1135,5,A,,Location Identifier,xbrli:stringItemType,0..1,,A code used to identify the location and to associate it with contacts and transactions,gl-cor,0,Address,GE01c_04,/CO02a/GE01c_04,$.Accounting Entries.Entity Information.Party.Address.Location Identifier,AccntEntrs.EnttyInfrm.Part.Adr.LctIdntf,所在地識別子,所在地を識別したり、窓口や取引と関係付けるコード。,gl-gen:addressLocationIdentifier
1136,5,A,,Building Number,xbrli:stringItemType,0..1,,Building Number,gl-cor,0,Address,GE01c_05,/CO02a/GE01c_05,$.Accounting Entries.Entity Information.Party.Address.Building Number,AccntEntrs.EnttyInfrm.Part.Adr.BldngNr,住所建物番号,建物番号。,gl-bus:identifierBuildingNumber
1137,5,A,,Street,xbrli:stringItemType,0..1,,Street address,gl-cor,0,Address,GE01c_06,/CO02a/GE01c_06,$.Accounting Entries.Entity Information.Party.Address.Street,AccntEntrs.EnttyInfrm.Part.Adr.Strt,住所通り,住所の通り。,gl-bus:identifierStreet
1138,5,A,,Address Detail,xbrli:stringItemType,0..1,,Address Detail,gl-cor,0,Address,GE01c_07,/CO02a/GE01c_07,$.Accounting Entries.Entity Information.Party.Address.Address Detail,AccntEntrs.EnttyInfrm.Part.Adr.AdrDetl,住所詳細,住所詳細。,gl-bus:identifierAddressStreet2
1139,5,A,,City,xbrli:stringItemType,0..1,,City,gl-cor,0,Address,GE01c_08,/CO02a/GE01c_08,$.Accounting Entries.Entity Information.Party.Address.City,AccntEntrs.EnttyInfrm.Part.Adr.Cty,住所都市,住所の都市。,gl-bus:identifierCity
1140,5,A,,State or Province,xbrli:stringItemType,0..1,,"State, province or region",gl-cor,0,Address,GE01c_09,/CO02a/GE01c_09,$.Accounting Entries.Entity Information.Party.Address.State or Province,AccntEntrs.EnttyInfrm.Part.Adr.SttOrPrvnc,住所州,住所の州や地方。,gl-bus:identifierStateOrProvince
1141,5,A,,Country,xbrli:stringItemType,0..1,,Country,gl-cor,0,Address,GE01c_10,/CO02a/GE01c_10,$.Accounting Entries.Entity Information.Party.Address.Country,AccntEntrs.EnttyInfrm.Part.Adr.Cntry,住所国,住所の国。,gl-bus:identifierCountry
1142,5,A,,Zip or Postal Code,xbrli:stringItemType,0..1,,Zip or other postal code,gl-cor,0,Address,GE01c_11,/CO02a/GE01c_11,$.Accounting Entries.Entity Information.Party.Address.Zip or Postal Code,AccntEntrs.EnttyInfrm.Part.Adr.ZpOrPstlCd,住所郵便番号,住所の郵便番号。,gl-bus:identifierZipOrPostalCode
1143,4,C,,Contact,,0..1,,Contact Information Structure,gl-cor,0,Contact,GE02c,/CO02a/GE02c,$.Accounting Entries.Entity Information.Party.Contact,AccntEntrs.EnttyInfrm.Part.Cnt,【担当者情報】,担当者情報の構造体。,gl-cor:identifierContactInformationStructure
1144,5,A,,Prefix,xbrli:stringItemType,0..1,,"Prefix (e.g. Dr., Mr., Mrs., etc.) for Contact",gl-cor,0,Contact,GE02c_01,/CO02a/GE02c_01,$.Accounting Entries.Entity Information.Party.Contact.Prefix,AccntEntrs.EnttyInfrm.Part.Cnt.Prfx,担当者敬称,担当者の敬称(Dr.、Mr.、Mrs.など)\n,gl-cor:identifierContactPrefix
1145,5,A,,Last Name,xbrli:stringItemType,0..1,,Family Name for Contact,gl-cor,0,Contact,GE02c_02,/CO02a/GE02c_02,$.Accounting Entries.Entity Information.Party.Contact.Last Name,AccntEntrs.EnttyInfrm.Part.Cnt.LastNam,担当者姓,担当者の姓\n,gl-cor:identifierContactLastName
1146,5,A,,First Name,xbrli:stringItemType,0..1,,First or Given Name for Contact,gl-cor,0,Contact,GE02c_03,/CO02a/GE02c_03,$.Accounting Entries.Entity Information.Party.Contact.First Name,AccntEntrs.EnttyInfrm.Part.Cnt.FrstNam,担当者名,担当者の名、クリスチャンネーム\n,gl-cor:identifierContactFirstName
1147,5,A,,Suffix,xbrli:stringItemType,0..1,,"Suffix (e.g. MD, CPA, Jr., etc.)",gl-cor,0,Contact,GE02c_04,/CO02a/GE02c_04,$.Accounting Entries.Entity Information.Party.Contact.Suffix,AccntEntrs.EnttyInfrm.Part.Cnt.Sffx,担当者付加名称,付加名称(MD、CPA、Jr.など)\n,gl-cor:identifierContactSuffix
1148,5,A,,Attention Line,xbrli:stringItemType,0..1,,Attention Line for Contact,gl-cor,0,Contact,GE02c_05,/CO02a/GE02c_05,$.Accounting Entries.Entity Information.Party.Contact.Attention Line,AccntEntrs.EnttyInfrm.Part.Cnt.AttntLn,担当者アテンションライン,担当者のアテンションライン\n,gl-cor:identifierContactAttentionLine
1149,5,A,,Position/Role,xbrli:stringItemType,0..1,,Position or Role for Contact,gl-cor,0,Contact,GE02c_06,/CO02a/GE02c_06,$.Accounting Entries.Entity Information.Party.Contact.Position/Role,AccntEntrs.EnttyInfrm.Part.Cnt.Pstnr,担当者地位/役職,担当者の地位や役職\n,gl-cor:identifierContactPositionRole
1150,5,A,,Contact Type,xbrli:stringItemType,0..1,,Contact Type for Contact,gl-cor,0,Contact,GE02c_07,/CO02a/GE02c_07,$.Accounting Entries.Entity Information.Party.Contact.Contact Type,AccntEntrs.EnttyInfrm.Part.Cnt.CntTyp,担当者役割,担当者の種別\n,gl-cor:identifierContactType
1151,5,A,,Location ID cross reference,xbrli:stringItemType,0..1,,This code is used to associate the contact with a specific location for the Accountant. Its value should be the same as that of the accountantAddressLocationIdentifier,gl-cor,0,Contact,GE02c_08,/CO02a/GE02c_08,$.Accounting Entries.Entity Information.Party.Contact.Location ID cross reference,AccntEntrs.EnttyInfrm.Part.Cnt.LctIdCrssRef,所在地相互参照情報,担当者と所在地情報を関係付けるためのコード。addressLocationIdentifierと同じ値であるべき。,gl-bus:identifierLocationIdentifierCrossReference
1152,5,C,,Phone Number,,0..1,,Phone Number,gl-cor,0,Phone Number,GE05e,/CO02a/GE05e,$.Accounting Entries.Entity Information.Party.Contact.Phone Number,AccntEntrs.EnttyInfrm.Part.Cnt.PhnNr,【電話番号】,電話番号,gl-cor:identifierContactPhone
1153,6,A,,Description,xbrli:stringItemType,0..1,,"Phone Number Description such as Main, Investor relations, etc.",gl-cor,0,Phone Number,GE05e_01,/CO02a/GE05e_01,$.Accounting Entries.Entity Information.Party.Contact.Phone Number.Description,AccntEntrs.EnttyInfrm.Part.Cnt.PhnNr.Dscr,電話番号説明,代表、IR用などの、電話番号の説明。 [設定値のリスト] (bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR担当者)、(main：代表)、(switchboard：交換台)、(other：その他) ,gl-cor:identifierContactPhoneNumberDescription
1154,6,A,,Number,xbrli:stringItemType,0..1,,phone number referred to in the description.,gl-cor,0,Phone Number,GE05e_02,/CO02a/GE05e_02,$.Accounting Entries.Entity Information.Party.Contact.Phone Number.Number,AccntEntrs.EnttyInfrm.Part.Cnt.PhnNr.Nr,電話番号,説明で示される担電話番号,gl-cor:identifierContactPhoneNumber
1155,5,C,,Fax Number,,0..1,,Fax Number Structure,gl-cor,0,Fax Number,GE04e,/CO02a/GE04e,$.Accounting Entries.Entity Information.Party.Contact.Fax Number,AccntEntrs.EnttyInfrm.Part.Cnt.FaxNr,【FAX番号】,FAX番号の構造体。,gl-cor:identifierContactFax
1156,6,A,,Number,xbrli:stringItemType,0..1,,Fax Number,gl-cor,0,Fax Number,GE04e_01,/CO02a/GE04e_01,$.Accounting Entries.Entity Information.Party.Contact.Fax Number.Number,AccntEntrs.EnttyInfrm.Part.Cnt.FaxNr.Nr,FAX番号,FAX番号。,gl-cor:identifierContactFaxNumberUsage
1157,6,A,,Usage,xbrli:stringItemType,0..1,,"Fax Number Usage (e.g. orders, head office, IR)",gl-cor,0,Fax Number,GE04e_02,/CO02a/GE04e_02,$.Accounting Entries.Entity Information.Party.Contact.Fax Number.Usage,AccntEntrs.EnttyInfrm.Part.Cnt.FaxNr.Usg,FAX番号用途,FAX番号の用途。(注文、本社、IRなど),gl-cor:identifierContactFaxNumber
1158,5,C,,Email Address,,0..1,,E-mail address structure,gl-cor,0,Email Address,GE03e,/CO02a/GE03e,$.Accounting Entries.Entity Information.Party.Contact.Email Address,AccntEntrs.EnttyInfrm.Part.Cnt.EmlAdr,【Eメールアドレス】,Eメールアドレスの構造体。,gl-cor:identifierContactEmail
1159,6,A,,Usage,xbrli:stringItemType,0..1,,"E-mail address usage (e.g. orders, head office, IR)",gl-cor,0,Email Address,GE03e_01,/CO02a/GE03e_01,$.Accounting Entries.Entity Information.Party.Contact.Email Address.Usage,AccntEntrs.EnttyInfrm.Part.Cnt.EmlAdr.Usg,Eメールアドレス用途,Eメールアドレスの用途。(注文、本社、IRなど),gl-cor:identifierContactEmailAddressUsage
1160,6,A,,Address,xbrli:stringItemType,0..1,,E-mail address,gl-cor,0,Email Address,GE03e_02,/CO02a/GE03e_02,$.Accounting Entries.Entity Information.Party.Contact.Email Address.Address,AccntEntrs.EnttyInfrm.Part.Cnt.EmlAdr.Adr,Eメールアドレス,Eメールアドレス。,gl-cor:identifierContactEmailAddress
1161,3,C,,Reporting Calendar,,0..1,,A tool to collect the periods used to summarise results from transactions.,gl-cor,0,Reporting Calendar,BU08a,/CO02a/BU08a,$.Accounting Entries.Entity Information.Reporting Calendar,AccntEntrs.EnttyInfrm.RprtCalnd,【報告カレンダー】,取引の結果をまとめるための期間を集めるもの。,gl-bus:reportingCalendar
1162,4,A,,Code,xbrli:stringItemType,0..1,,"The code used to identify this specific reporting calendar, unique across periods",gl-cor,0,Reporting Calendar,BU08a_01,/CO02a/BU08a_01,$.Accounting Entries.Entity Information.Reporting Calendar.Code,AccntEntrs.EnttyInfrm.RprtCalnd.Cd,報告カレンダーコード,この報告カレンダーを識別するコード。複数期間にわたって一意。,gl-bus:reportingCalendarCode
1163,4,A,,Description,xbrli:stringItemType,0..1,,A description of the reporting calendar (associated with the reportingCalendarCode given),gl-cor,0,Reporting Calendar,BU08a_02,/CO02a/BU08a_02,$.Accounting Entries.Entity Information.Reporting Calendar.Description,AccntEntrs.EnttyInfrm.RprtCalnd.Dscr,報告カレンダー説明,報告カレンダーの説明（reportingCalendarCodeと関係付けられる）。,gl-bus:reportingCalendarDescription
1164,4,A,,Title,xbrli:stringItemType,0..1,,A description of the reporting period. The actual beginning and ending dates are found within the 'reportingCalendarPeriod' structure,gl-cor,0,Reporting Calendar,BU08a_03,/CO02a/BU08a_03,$.Accounting Entries.Entity Information.Reporting Calendar.Title,AccntEntrs.EnttyInfrm.RprtCalnd.Ttl,報告カレンダータイトル,報告期間の説明。実際の開始日及び終了日はreportingCalendarPeriodに記述する。,gl-bus:reportingCalendarTitle
1165,4,A,,Code Related to Type of Periods,xbrli:stringItemType,0..1,,"A code for the type of period involved. Enumerated as: monthly, quarterly, semi-annually, 4-5-4, ad-hoc, other.",gl-cor,0,Reporting Calendar,BU08a_04,/CO02a/BU08a_04,$.Accounting Entries.Entity Information.Reporting Calendar.Code Related to Type of Periods,AccntEntrs.EnttyInfrm.RprtCalnd.CdReltdTTypOfPerds,期間種別コード,報告期間の種別コード。月次、四半期ごと、半期ごと、4-5-4、随時、その他\n[設定値のリスト]\n(monthly：月次)、(quarterly：四半期ごと)、(semi-annually：半期ごと)、(4-5-4：4-5-4)、(ad-hoc：随時)、(other：その他) \n,gl-bus:reportingCalendarPeriodType
1166,4,A,,Description of periods,xbrli:stringItemType,0..1,,A description of the type of period involved.,gl-cor,0,Reporting Calendar,BU08a_05,/CO02a/BU08a_05,$.Accounting Entries.Entity Information.Reporting Calendar.Description of periods,AccntEntrs.EnttyInfrm.RprtCalnd.DscrOfPerds,期間種別説明,報告期間の種別の説明。,gl-bus:reportingCalendarPeriodTypeDescription
1167,4,A,,Closed status,xbrli:stringItemType,0..1,,"An identifier on whether the reporting calendar is still open for activity. enumerated, ""open"", ""closed"", ""pending""",gl-cor,0,Reporting Calendar,BU08a_06,/CO02a/BU08a_06,$.Accounting Entries.Entity Information.Reporting Calendar.Closed status,AccntEntrs.EnttyInfrm.RprtCalnd.ClsdStat,締状態,報告カレンダーがオープンかどうかを示す識別子。オープン、締切り済み、保留中\n[設定値のリスト]\n(open：オープン)、(closed：締切り済み)、(pending：保留中) \n,gl-bus:reportingCalendarOpenClosedStatus
1168,4,A,,Reporting Purpose,xbrli:stringItemType,0..1,,A description of the accounting set of books involved. Uses enumeration from accounting method purpose.,gl-cor,0,Reporting Calendar,BU08a_07,/CO02a/BU08a_07,$.Accounting Entries.Entity Information.Reporting Calendar.Reporting Purpose,AccntEntrs.EnttyInfrm.RprtCalnd.RprtPrps,報告目的,帳簿の集合の説明。会計処理方法の目的の列挙値を使用する。\n[設定値のリスト]\n(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他),gl-bus:reportingPurpose
1169,4,A,,Reporting Purpose Description,xbrli:stringItemType,0..1,,Free format description of the reporting purpose,gl-cor,0,Reporting Calendar,BU08a_08,/CO02a/BU08a_08,$.Accounting Entries.Entity Information.Reporting Calendar.Reporting Purpose Description,AccntEntrs.EnttyInfrm.RprtCalnd.RprtPrpsDscr,報告目的説明,報告目的の説明。,gl-bus:reportingPurposeDescription
1170,4,C,,Reporting Calendar Period,,0..1,,A tool to collect a specific set of periods used to summarize results from transactions.,gl-cor,0,Reporting Calendar Period,BU07a,/CO02a/BU07a,$.Accounting Entries.Entity Information.Reporting Calendar.Reporting Calendar Period,AccntEntrs.EnttyInfrm.RprtCalnd.RprtCalndPer,【報告カレンダー期間】,取引の結果をまとめるための特定の期間を集めるもの。,gl-bus:reportingCalendarPeriod
1171,5,A,PK,Identifier,xbrli:stringItemType,0..1,,An identifier for this period in this calendar,gl-cor,0,Reporting Calendar Period,BU07a_01,/CO02a/BU07a_01,$.Accounting Entries.Entity Information.Reporting Calendar.Reporting Calendar Period.Identifier,AccntEntrs.EnttyInfrm.RprtCalnd.RprtCalndPer.Idntf,報告期間識別子,このカレンダーにおけるこの期間の識別子。,gl-bus:periodIdentifier
1172,5,A,,Description,xbrli:stringItemType,0..1,,A description of this specific reporting period in this calendar.,gl-cor,0,Reporting Calendar Period,BU07a_02,/CO02a/BU07a_02,$.Accounting Entries.Entity Information.Reporting Calendar.Reporting Calendar Period.Description,AccntEntrs.EnttyInfrm.RprtCalnd.RprtCalndPer.Dscr,期間説明,このカレンダーにおけるこの特定の期間の説明。,gl-bus:periodDescription
1173,5,A,,Start Date,xbrli:stringItemType,0..1,,The beginning date/time of a period,gl-cor,0,Reporting Calendar Period,BU07a_03,/CO02a/BU07a_03,$.Accounting Entries.Entity Information.Reporting Calendar.Reporting Calendar Period.Start Date,AccntEntrs.EnttyInfrm.RprtCalnd.RprtCalndPer.StrtDt,期間開始日付,期間の開始日付/時刻\n,gl-bus:periodStart
1174,5,A,,End Date,xbrli:stringItemType,0..1,,The ending date/time of a period,gl-cor,0,Reporting Calendar Period,BU07a_04,/CO02a/BU07a_04,$.Accounting Entries.Entity Information.Reporting Calendar.Reporting Calendar Period.End Date,AccntEntrs.EnttyInfrm.RprtCalnd.RprtCalndPer.EndDt,期間終了日付,期間の終了日付/時刻\n,gl-bus:periodEnd
1175,5,A,,Period Closed Date,xbrli:stringItemType,0..1,,"The date/time a period has been closed for activity. If this is present with a nill value (xsi:nill=""true"") then the period is not closed.",gl-cor,0,Reporting Calendar Period,BU07a_05,/CO02a/BU07a_05,$.Accounting Entries.Entity Information.Reporting Calendar.Reporting Calendar Period.Period Closed Date,AccntEntrs.EnttyInfrm.RprtCalnd.RprtCalndPer.PerClsdDt,期間締日付,"この期間の活動が締め切られた日付/時刻。この値がニル値(xsi:nill=""true"")であれば、この期間は、締め切られていない。",gl-bus:periodClosedDate
1176,2,C,,Entry Header,,0..*,,Parent for entry headers/journal entry headers.,gl-cor,0,Entry Header,CO06a,/CO02a/CO06a,$.Accounting Entries.Entry Header,AccntEntrs.EntryHedr,【仕訳情報】,エントリヘッダー/仕訳記入ヘッダーの親タグ。,gl-cor:entryHeader
1177,3,A,,Date Posted,xbrli:stringItemType,0..1,,Date this entry was posted (validated) to the general ledger. May not represent the date of accounting significance which is represented by 'postingDate'.,gl-cor,0,Entry Header,CO06a_01,/CO02a/CO06a/CO06a_01,$.Accounting Entries.Entry Header.Date Posted,AccntEntrs.EntryHedr.DtPstd,転記済日付,この仕訳が総勘定元帳に転記された(検証された)日付。 postingDateで示されるような会計上意味のある日付を表さないかもしれない。,gl-cor:postedDate
1178,3,A,,Entry Creator,xbrli:stringItemType,0..1,,Initials/name of operator originally entering.,gl-cor,0,Entry Header,CO06a_02,/CO02a/CO06a/CO06a_02,$.Accounting Entries.Entry Header.Entry Creator,AccntEntrs.EntryHedr.EntryCrtr,仕訳作成者,最初に入力したオペレータのイニシャル/名前。,gl-cor:enteredBy
1179,3,A,,Entry Last Modifier,xbrli:stringItemType,0..1,,Identification for the last person modifying this entry before posting.,gl-cor,0,Entry Header,CO06a_BU06_03,/CO02a/CO06a/CO06a_BU06_03,$.Accounting Entries.Entry Header.Entry Last Modifier,AccntEntrs.EntryHedr.EntryLastMdfr,仕訳最終更新者,転記前に最後にこの仕訳を修正した者の識別子。,gl-bus:enteredByModified
1180,3,A,,Entry Date,xbrli:stringItemType,0..1,,"Represents the actual date/time of entry into computer (automated from system date, often misrepresented by changing system clock). Posting dates are maintained separately.",gl-cor,0,Entry Header,CO06a_04,/CO02a/CO06a/CO06a_04,$.Accounting Entries.Entry Header.Entry Date,AccntEntrs.EntryHedr.EntryDt,入力日付,コンピュータへ入力した実際の日付/時刻(システム日付から自動的に与えられ、システム時計の変更により、しばしば誤った値になる)を示す。 転記日付とは別に管理される。,gl-cor:enteredDate
1181,3,A,,Responsible Person,xbrli:stringItemType,0..1,,Identifier of person who created or originated or is otherwise responsible for the entry.,gl-cor,0,Entry Header,CO06a_BU06_05,/CO02a/CO06a/CO06a_BU06_05,$.Accounting Entries.Entry Header.Responsible Person,AccntEntrs.EntryHedr.RespnPersn,責任者,仕訳を作成したか、仕訳に責任を持つ者の識別子。,gl-bus:entryResponsiblePerson
1182,3,A,,Source Journal,xbrli:stringItemType,0..1,,"Source journal. The code of the journal in which the entry is processed. The code must be a unique indication for a journal and is selected from the following enumerated list:\ncd      cash disbursements (sending cheques to vendors)\ncr      cash receipts (receiving cheques from others)\nfa      fixed assets\ngi      giro/other bank adjustments\ngj      general journal\nim      inventory management\njc      job cost\npj      purchase journal (liabilities from purchases)\npl      payroll journal\nsj      sales journal\nse      standard entries\nud      user defined\not      other sources of entries""",gl-cor,0,Entry Header,CO06a_06,/CO02a/CO06a/CO06a_06,$.Accounting Entries.Entry Header.Source Journal,AccntEntrs.EntryHedr.SrcJrn,元仕訳帳種別,元仕訳帳。仕訳が処理される仕訳帳のコード。コードは仕訳帳に一意な指標であり、以下から選択する。\n出金(仕入先への小切手送付)、入金(他者からの小切手受領)、固定資産、振替、一般仕訳帳、在庫管理、個別原価、仕入帳(仕入による負債)、賃金台帳、売上台帳、通常仕訳、ユーザ定義、その他\n[設定値のリスト]\n(cd：出金)、(cr：入金)、(fa：固定資産)、(gi：振替)、(gj：一般仕訳帳)、(im：在庫管理)、(jc：個別原価)、(pj：仕入帳)、(pl：賃金台帳)、(sj：売上台帳)、(se：通常仕訳)、(ud：ユーザ定義)、(ot：その他),gl-cor:sourceJournalID
1183,3,A,,Journal Description,xbrli:stringItemType,0..1,,"Source journal (full description of general journal, payroll journal, accountant entries). A more easily readable journal indication. The most common journals are: Purchases, Sales, Cash, and General Journal.",gl-cor,0,Entry Header,CO06a_BU06_07,/CO02a/CO06a/CO06a_BU06_07,$.Accounting Entries.Entry Header.Journal Description,AccntEntrs.EntryHedr.JrnDscr,元仕訳帳説明,元仕訳帳(一般仕訳、給与台帳、会計士入力の完全な説明)。 よりわかりやすい仕訳帳の指標。 最も一般的な仕訳帳は、次の通り。 仕入、売上、現金、一般仕訳。,gl-bus:sourceJournalDescription
